round,accuracy,training_time,round_time
1,48.14,10.594113644212484,16.906572602689266
2,48.28,10.424751438200474,13.833918441087008
3,48.94,9.8024977799505,13.24904471822083
4,49.07,10.238400476053357,13.596748923882842
5,49.03,9.714366521686316,13.948116555809975
6,48.94,10.175968553870916,14.197647320106626
7,49.08,10.232084929943085,12.714480055496097
8,49.13,10.087089655920863,14.023352209478617
9,49.11,10.359780503436923,12.725865576416254
10,49.120000000000005,10.081963108852506,12.187149154022336
11,49.09,10.13212813809514,13.142422338947654
12,49.17,9.71055817976594,12.947271516546607
13,49.120000000000005,9.381004998460412,13.064672574400902
14,49.14,10.425991656258702,12.893761267885566
15,49.18,9.681809967383742,12.375646702945232
16,49.19,11.110635099932551,14.137802962213755
17,49.21,10.464977545663714,13.187732538208365
18,49.08,10.668438209220767,13.12009121850133
19,49.08,10.699748115614057,13.840674879029393
20,49.15,10.259893303737044,13.8994583748281
21,48.35,10.13839715719223,13.70139048434794
22,48.46,9.755054282024503,13.004288144409657
23,48.93,10.284421237185597,12.87880028784275
24,48.94,9.430168502032757,12.499338708817959
25,48.949999999999996,9.551186179742217,13.379950923845172
26,48.9,9.861104272305965,13.506900824606419
27,48.699999999999996,10.321064120158553,12.663024358451366
28,49.04,9.980204239487648,13.924568122252822
29,49.08,9.8824673127383,12.758811105042696
30,49.15,10.7054926995188,13.313769347965717
31,49.14,10.170528626069427,12.947536624968052
32,49.09,9.874284263700247,13.022449795156717
33,49.14,10.393614403903484,13.678384874016047
34,49.18,10.834738610312343,13.102458754554391
35,49.15,10.459262864664197,13.658491399139166
36,49.04,10.407019231468439,13.149527259171009
37,49.07,9.256957871839404,12.332287216559052
38,48.77,9.875564889982343,13.847802225500345
39,49.58,9.578247535973787,13.065650723874569
