round,accuracy,training_time,round_time
1,24.568000000000005,8.204538332298398,22.21058838814497
2,53.45000000000001,8.083328483626246,20.70020692050457
3,65.67399999999999,8.080315236002207,20.869937758892775
4,72.908,8.165111502632499,21.63099193945527
5,76.06400000000001,8.080786632373929,21.114204736426473
6,79.70200000000001,8.362559186294675,20.514309799298644
7,83.336,8.211666030809283,20.982424665242434
8,84.20400000000001,8.229882830753922,21.976782524958253
9,86.596,8.995468523353338,20.848583728075027
10,89.56400000000001,8.598939096555114,21.62500603310764
11,89.66999999999999,8.295398097485304,21.719064047560096
12,89.47800000000001,8.099354237318039,21.357482643797994
13,89.66999999999999,8.186082741245627,21.475704289972782
14,90.406,8.382162190973759,20.52565179206431
15,90.18,8.603157840669155,21.631719008088112
16,90.42200000000001,8.700368231162429,21.10318479500711
17,91.106,8.471713667735457,20.762517150491476
18,90.998,8.181624116376042,21.374563621357083
19,90.754,8.357233548536897,21.250067139044404
20,89.958,8.139099266380072,21.238714015111327
21,89.70000000000002,8.374425450339913,21.824667485430837
22,90.22,8.47453941218555,20.98733368702233
23,90.78,8.238619154319167,21.397036910057068
24,90.876,8.357793368399143,21.328761273995042
25,90.56599999999999,8.308781500905752,21.7688234038651
26,90.29800000000002,8.441614482551813,21.08821232430637
27,90.984,8.356899108737707,21.68637948296964
28,91.61600000000001,8.360019352287054,22.017770504578948
29,91.896,8.643921557813883,21.494719291105866
30,92.112,8.52612792328,21.14723500236869
31,92.152,8.051594918593764,21.40441456437111
32,92.12,8.224554918706417,21.06487595848739
33,92.358,8.232054447755218,21.601458709686995
34,92.728,8.185084061697125,21.76023108512163
35,93.138,8.087247429415584,20.80946458131075
36,93.34200000000001,8.322267431765795,21.19392959587276
37,93.32800000000002,8.279263300821185,21.872824942693114
38,93.598,8.72200326435268,20.83318182826042
39,93.63,8.28388018719852,21.701854061335325
40,93.79599999999999,8.132856376469135,21.66367856785655
41,93.78200000000001,8.207168167456985,21.717406997457147
42,94.028,7.93996031396091,21.00861464254558
43,93.842,9.005562469363213,20.945380050688982
44,93.99199999999999,8.563089651986957,21.943498522043228
45,93.876,8.262753022834659,20.657572217285633
46,94.156,8.292478846386075,21.59044668264687
47,93.902,8.483913879841566,21.525368355214596
48,94.284,8.310258204117417,21.218568665906787
49,94.372,8.376696789637208,21.568195732310414
50,94.46600000000002,7.948255248367786,20.81897839717567
51,94.45000000000002,8.40828919224441,21.258668253198266
52,94.53800000000001,9.076314948499203,21.249274622648954
53,93.92200000000001,8.305928172543645,21.53441083431244
54,94.664,8.39842252805829,21.475538816303015
55,94.336,8.558024868369102,22.119989870116115
56,94.77400000000002,8.41201581992209,20.687252558767796
57,94.756,8.074890024960041,21.272384073585272
58,94.49000000000001,8.124931702390313,20.892959719523787
59,94.524,8.387270778417587,20.997870326042175
60,94.70200000000001,8.575666058808565,22.12054936029017
61,94.916,8.165305094793439,21.162079952657223
62,94.76,8.178753320127726,21.00020546093583
63,94.99600000000001,8.348744377493858,21.550996208563447
64,94.89599999999999,8.195043496787548,20.937428813427687
65,95.08600000000001,8.198078110814095,22.348717683926225
66,95.10400000000001,8.913128789514303,20.891909847036004
67,95.21600000000001,8.366056812927127,21.42704501375556
68,95.224,8.24324219673872,22.081131694838405
69,95.264,9.039433889091015,21.58058393187821
70,95.28999999999999,8.7042337320745,22.206785349175334
71,95.25000000000001,9.261247113347054,21.880923230201006
72,95.28400000000002,8.977110194042325,20.903958844020963
73,95.26800000000001,8.480768224224448,21.305917916819453
74,95.318,8.158505074679852,20.699102925136685
75,95.318,8.40862019173801,20.710391491651535
76,95.32400000000001,8.011522147804499,21.144027784466743
77,95.326,8.204739620909095,21.20133236795664
78,95.34200000000001,8.770762043073773,21.90081532858312
79,95.35,8.731422891840339,21.81418983824551
80,95.352,8.675126824527979,22.08927054516971
81,95.366,8.70386254414916,20.943406391888857
82,95.364,8.261665722355247,21.422014141455293
83,95.314,7.93798241019249,20.31549903936684
84,95.31400000000001,8.276906915009022,21.308858882635832
85,95.368,8.109727449715137,22.085112623870373
86,95.398,8.031159551814198,20.914977114647627
87,95.42600000000002,8.176099613308907,21.225281251594424
88,95.44800000000001,8.272459240630269,21.040848867967725
89,95.47,8.53008957952261,21.660958724096417
90,95.47399999999999,8.211163580417633,20.78274482116103
