round,accuracy,round_time
1,11.35,40
2,9.74,80
3,9.82,120
4,8.93,160
5,17.02,200
6,10.2,240
7,10.43,280
8,9.8,320
9,10.280000000000001,360
10,13.83,400
11,26.51,440
12,25.629999999999995,480
13,36.449999999999996,520
14,27.860000000000003,560
15,33.86,600
16,42.29,640
17,49.97,680
18,53.11,720
19,51.870000000000005,760
20,43.0,800
21,33.42,840
22,52.44,880
23,45.73,920
24,55.74,960
25,53.849999999999994,1000
26,58.95,1040
27,42.77,1080
28,58.379999999999995,1120
29,56.620000000000005,1160
30,64.07000000000001,1200
31,67.17999999999999,1240
32,62.83,1280
33,54.11,1320
34,68.34,1360
35,72.85000000000001,1400
36,66.59,1440
37,72.41,1480
38,63.88,1520
39,66.96,1560
40,69.22,1600
41,74.22999999999999,1640
42,69.6,1680
43,69.96,1720
44,75.42999999999999,1760
45,70.84,1800
46,77.72,1840
47,78.92,1880
48,82.67999999999999,1920
49,79.81,1960
50,76.36,2000
51,80.30000000000001,2040
52,78.69,2080
53,78.88,2120
54,77.31,2160
55,75.37,2200
56,80.01,2240
57,82.89,2280
58,77.16,2320
59,80.72,2360
60,75.73,2400
61,80.19,2440
62,85.11999999999999,2480
63,83.14,2520
64,83.43,2560
65,80.95,2600
66,81.28,2640
67,84.48,2680
68,88.84,2720
69,84.09,2760
70,85.77,2800
71,85.38,2840
72,88.5,2880
73,82.80999999999999,2920
74,87.64999999999999,2960
75,86.57000000000001,3000
76,85.82,3040
77,85.42999999999999,3080
78,81.2,3120
79,87.88,3160
80,82.89,3200
81,82.83,3240
82,77.53999999999999,3280
83,84.00999999999999,3320
84,85.41,3360
85,86.63,3400
86,88.34,3440
87,86.72,3480
88,85.69,3520
89,80.01,3560
90,80.95,3600
91,84.97,3640
92,83.32000000000001,3680
93,90.01,3720
94,89.51,3760
95,85.76,3800
96,86.13,3840
97,87.33,3880
98,90.0,3920
99,80.49,3960
100,90.31,4000
101,87.38,4040
102,90.52,4080
103,89.56,4120
104,91.10000000000001,4160
105,82.31,4200
106,91.60000000000001,4240
107,89.60000000000001,4280
108,91.86,4320
109,90.07,4360
110,85.95,4400
111,90.18,4440
112,90.53,4480
113,90.9,4520
114,90.89,4560
115,91.62,4600
116,90.94,4640
117,88.53999999999999,4680
118,91.51,4720
119,91.77,4760
120,90.36,4800
121,89.12,4840
122,91.91,4880
123,84.91,4920
124,92.01,4960
125,90.88000000000001,5000
