round,accuracy,round_time
1,11.48,20
2,11.940000000000001,40
3,18.740000000000002,60
4,14.11,80
5,18.91,100
6,17.86,120
7,19.85,140
8,56.68,160
9,28.67,180
10,52.2,200
11,47.910000000000004,220
12,51.99,240
13,60.4,260
14,64.05,280
15,54.230000000000004,300
16,69.6,320
17,64.7,340
18,71.52,360
19,66.95,380
20,82.42,400
21,70.84,420
22,82.0,440
23,73.19,460
24,80.25999999999999,480
25,84.8,500
26,82.39999999999999,520
27,77.92999999999999,540
28,86.74,560
29,84.22,580
30,85.99,600
31,88.1,620
32,88.02,640
33,85.42999999999999,660
34,87.94,680
35,85.82,700
36,88.96,720
37,89.62,740
38,90.05,760
39,87.35000000000001,780
40,88.46000000000001,800
41,90.32,820
42,90.22,840
43,89.89,860
44,90.64,880
45,90.22,900
46,90.32,920
47,89.3,940
48,90.01,960
49,90.63,980
50,91.61,1000
51,88.64999999999999,1020
52,91.16,1040
53,91.08000000000001,1060
54,91.16,1080
55,90.68,1100
56,91.31,1120
57,89.99000000000001,1140
58,92.12,1160
59,89.94,1180
60,91.97,1200
61,91.33,1220
62,91.84,1240
63,90.96,1260
64,92.34,1280
65,92.16,1300
66,91.75999999999999,1320
67,91.75,1340
68,92.55,1360
69,91.8,1380
70,92.29,1400
71,91.95,1420
72,92.78999999999999,1440
73,91.57,1460
74,92.47,1480
75,92.5,1500
76,92.51,1520
77,91.75999999999999,1540
78,92.41,1560
79,92.06,1580
80,93.24,1600
81,92.63,1620
82,92.42,1640
83,91.60000000000001,1660
84,93.24,1680
85,92.78,1700
86,92.88,1720
87,91.92,1740
88,92.97999999999999,1760
89,92.27,1780
90,93.21000000000001,1800
91,92.12,1820
92,93.41000000000001,1840
93,92.33,1860
94,93.0,1880
95,92.78,1900
96,93.21000000000001,1920
97,92.89,1940
98,93.15,1960
99,92.44,1980
100,93.37,2000
101,92.78,2020
102,93.02,2040
103,92.5,2060
104,93.47999999999999,2080
105,93.49,2100
106,93.21000000000001,2120
107,92.94,2140
108,93.5,2160
109,92.82000000000001,2180
110,93.44,2200
111,92.93,2220
112,93.54,2240
113,93.23,2260
114,93.47,2280
115,93.21000000000001,2300
116,93.83,2320
117,92.99,2340
118,93.62,2360
119,93.02,2380
120,93.96,2400
121,93.58,2420
122,93.45,2440
123,93.16,2460
124,93.99,2480
125,93.61,2500
126,93.56,2520
127,93.41000000000001,2540
128,94.03,2560
129,93.42,2580
130,94.05,2600
131,93.17,2620
132,93.94,2640
133,93.7,2660
134,93.81,2680
135,93.81,2700
136,94.04,2720
137,93.49,2740
138,93.92,2760
139,93.55,2780
140,93.67999999999999,2800
141,93.27,2820
142,94.08999999999999,2840
143,93.25,2860
144,93.54,2880
145,94.22,2900
146,94.01,2920
147,93.51,2940
148,93.74,2960
149,93.71000000000001,2980
150,94.16,3000
151,93.78999999999999,3020
152,94.25,3040
153,93.41000000000001,3060
154,94.01,3080
155,93.97999999999999,3100
156,93.77,3120
157,93.78,3140
158,94.08999999999999,3160
159,93.72,3180
160,93.95,3200
161,94.22,3220
162,94.19999999999999,3240
163,93.76,3260
164,94.19,3280
165,93.36,3300
166,93.97999999999999,3320
167,93.87,3340
168,94.15,3360
169,94.03,3380
170,94.27,3400
171,94.11,3420
172,94.21000000000001,3440
173,94.06,3460
174,94.26,3480
175,94.02000000000001,3500
176,94.14,3520
177,94.1,3540
178,94.3,3560
179,93.83,3580
180,94.28999999999999,3600
181,94.17,3620
182,94.27,3640
183,93.86,3660
184,94.47,3680
185,94.39,3700
186,94.22,3720
187,94.12,3740
188,94.12,3760
189,94.08,3780
190,94.37,3800
191,94.31,3820
192,94.31,3840
193,94.25,3860
194,94.32000000000001,3880
195,94.22,3900
196,94.39,3920
197,94.39999999999999,3940
198,94.24,3960
199,94.13,3980
200,93.97,4000
201,94.41000000000001,4020
202,94.38,4040
203,94.32000000000001,4060
204,94.08999999999999,4080
205,94.49,4100
206,94.46,4120
207,94.25,4140
208,94.34,4160
209,94.38,4180
210,94.45,4200
211,94.24,4220
212,94.31,4240
213,94.49,4260
214,94.41000000000001,4280
215,94.37,4300
216,94.39,4320
217,94.35,4340
218,94.37,4360
219,94.35,4380
220,94.24,4400
221,94.37,4420
222,94.43,4440
223,94.39,4460
224,94.39,4480
225,94.38,4500
226,94.39,4520
227,94.38,4540
228,94.33,4560
229,94.49,4580
230,94.46,4600
231,94.47,4620
232,94.41000000000001,4640
233,94.5,4660
234,94.54,4680
235,94.39999999999999,4700
236,94.55,4720
237,94.39,4740
238,94.54,4760
239,94.44,4780
240,94.55,4800
241,94.47,4820
242,94.57,4840
243,94.38,4860
244,94.45,4880
245,94.56,4900
246,94.56,4920
247,94.5,4940
248,94.51,4960
249,94.39,4980
250,94.39999999999999,5000
