round,accuracy,round_time
1,19.85,40
2,30.459999999999997,80
3,59.019999999999996,120
4,61.89,160
5,71.22,200
6,72.89,240
7,70.84,280
8,86.38,320
9,76.68,360
10,83.35000000000001,400
11,81.77,440
12,75.12,480
13,86.53999999999999,520
14,74.47,560
15,89.01,600
16,92.78999999999999,640
17,86.79,680
18,90.86,720
19,90.42,760
20,86.5,800
21,88.25,840
22,94.37,880
23,93.65,920
24,91.34,960
25,94.03,1000
26,94.46,1040
27,95.35,1080
28,94.67,1120
29,94.66,1160
30,96.02000000000001,1200
31,95.77,1240
32,95.58,1280
33,95.38,1320
34,96.26,1360
35,95.6,1400
36,95.73,1440
37,96.47,1480
38,96.97,1520
39,96.39999999999999,1560
40,96.78999999999999,1600
41,96.78999999999999,1640
42,96.84,1680
43,96.34,1720
44,97.33000000000001,1760
45,94.63000000000001,1800
46,94.89999999999999,1840
47,96.36,1880
48,96.88,1920
49,95.91,1960
50,94.53,2000
51,94.71000000000001,2040
52,97.44,2080
53,95.71,2120
54,95.85000000000001,2160
55,97.2,2200
56,95.67,2240
57,97.09,2280
58,97.56,2320
59,97.02,2360
60,97.55,2400
61,97.17,2440
62,96.56,2480
63,95.67999999999999,2520
64,97.49,2560
65,97.41,2600
66,97.50999999999999,2640
67,97.24000000000001,2680
68,97.23,2720
69,97.8,2760
70,98.02,2800
71,97.68,2840
72,97.71,2880
73,97.59,2920
74,97.58,2960
75,98.22,3000
76,98.11,3040
77,97.56,3080
78,97.96000000000001,3120
79,97.41,3160
80,98.11,3200
81,97.53,3240
82,98.04,3280
83,97.86,3320
84,98.3,3360
85,97.87,3400
86,97.33000000000001,3440
87,97.41,3480
88,98.09,3520
89,96.16,3560
90,98.03,3600
91,97.96000000000001,3640
92,97.68,3680
93,97.8,3720
94,96.89999999999999,3760
95,98.41,3800
96,97.68,3840
97,98.42,3880
98,98.07000000000001,3920
99,98.28,3960
100,98.11999999999999,4000
101,96.17,4040
102,98.27,4080
103,98.07000000000001,4120
104,97.55,4160
105,97.99,4200
106,98.07000000000001,4240
107,98.0,4280
108,97.98,4320
109,98.53,4360
110,98.42,4400
111,97.74000000000001,4440
112,98.13,4480
113,98.16,4520
114,98.26,4560
115,97.89999999999999,4600
116,98.2,4640
117,97.43,4680
118,98.16,4720
119,98.48,4760
120,98.17,4800
121,98.53,4840
122,98.44000000000001,4880
123,97.86,4920
124,98.22999999999999,4960
125,97.86,5000
