round,accuracy,round_time
1,22.56267409470752,80
2,42.061281337047355,160
3,45.12534818941504,240
4,46.51810584958218,320
5,45.12534818941504,400
6,48.74651810584958,480
7,50.974930362116986,560
8,48.467966573816156,640
9,51.25348189415042,720
10,55.15320334261838,800
11,50.69637883008357,880
12,53.48189415041783,960
13,58.495821727019504,1040
14,53.760445682451255,1120
15,56.54596100278552,1200
16,61.00278551532033,1280
17,57.10306406685237,1360
18,58.495821727019504,1440
19,59.888579387186624,1520
20,61.83844011142061,1600
21,64.34540389972145,1680
22,61.28133704735376,1760
23,63.788300835654596,1840
24,61.00278551532033,1920
25,62.67409470752089,2000
26,60.16713091922006,2080
27,62.116991643454035,2160
28,61.55988857938719,2240
29,65.73816155988858,2320
30,56.54596100278552,2400
31,65.18105849582173,2480
32,61.83844011142061,2560
33,61.55988857938719,2640
34,62.116991643454035,2720
35,65.73816155988858,2800
36,66.01671309192201,2880
37,65.18105849582173,2960
38,67.40947075208913,3040
39,66.01671309192201,3120
40,69.35933147632312,3200
41,65.73816155988858,3280
42,67.96657381615599,3360
43,64.9025069637883,3440
44,64.9025069637883,3520
45,64.34540389972145,3600
46,63.231197771587745,3680
47,64.06685236768801,3760
48,67.40947075208913,3840
49,65.45961002785515,3920
50,66.29526462395543,4000
51,68.80222841225627,4080
52,68.80222841225627,4160
53,67.1309192200557,4240
54,66.29526462395543,4320
55,62.116991643454035,4400
56,66.85236768802228,4480
57,67.68802228412257,4560
58,65.73816155988858,4640
59,71.58774373259052,4720
60,67.68802228412257,4800
61,69.08077994428969,4880
62,74.65181058495823,4960
63,73.53760445682451,5040
64,71.86629526462396,5120
65,73.53760445682451,5200
66,72.70194986072424,5280
67,77.15877437325905,5360
68,75.20891364902506,5440
69,73.25905292479109,5520
70,74.09470752089136,5600
71,72.70194986072424,5680
72,72.42339832869081,5760
73,73.25905292479109,5840
74,73.81615598885793,5920
75,74.09470752089136,6000
76,71.03064066852369,6080
77,72.70194986072424,6160
78,74.93036211699165,6240
79,74.93036211699165,6320
80,75.4874651810585,6400
81,73.81615598885793,6480
82,74.3732590529248,6560
