round,accuracy,round_time
1,7.434944237918216,20
2,11.152416356877323,40
3,10.408921933085502,60
4,10.780669144981413,80
5,13.011152416356877,100
6,16.356877323420075,120
7,13.754646840148698,140
8,15.985130111524162,160
9,7.434944237918216,180
10,10.408921933085502,200
11,19.33085501858736,220
12,24.1635687732342,240
13,20.074349442379184,260
14,26.394052044609666,280
15,23.79182156133829,300
16,18.95910780669145,320
17,15.613382899628252,340
18,21.561338289962826,360
19,16.356877323420075,380
20,18.95910780669145,400
21,29.739776951672862,420
22,29.36802973977695,440
23,14.49814126394052,460
24,20.44609665427509,480
25,22.304832713754646,500
26,23.79182156133829,520
27,20.817843866171003,540
28,29.739776951672862,560
29,30.483271375464682,580
30,37.9182156133829,600
31,26.394052044609666,620
32,34.20074349442379,640
33,26.022304832713754,660
34,28.99628252788104,680
35,24.53531598513011,700
36,26.022304832713754,720
37,33.08550185873606,740
38,29.36802973977695,760
39,40.14869888475837,780
40,43.12267657992565,800
41,37.54646840148699,820
42,39.03345724907063,840
43,32.71375464684015,860
44,30.483271375464682,880
45,29.739776951672862,900
46,30.483271375464682,920
47,21.933085501858738,940
48,32.71375464684015,960
49,34.94423791821561,980
50,34.20074349442379,1000
51,27.509293680297397,1020
52,30.111524163568777,1040
53,26.022304832713754,1060
54,25.650557620817843,1080
55,35.687732342007436,1100
56,35.31598513011153,1120
57,43.12267657992565,1140
58,33.457249070631974,1160
59,34.572490706319705,1180
60,34.572490706319705,1200
61,32.342007434944236,1220
62,40.89219330855018,1240
63,42.75092936802974,1260
64,42.00743494423792,1280
65,34.572490706319705,1300
66,33.82899628252788,1320
67,32.71375464684015,1340
68,42.00743494423792,1360
69,39.03345724907063,1380
70,42.75092936802974,1400
71,33.82899628252788,1420
72,43.12267657992565,1440
73,41.63568773234201,1460
74,30.483271375464682,1480
75,43.866171003717476,1500
76,43.12267657992565,1520
77,43.49442379182156,1540
78,31.226765799256505,1560
79,30.483271375464682,1580
80,38.66171003717472,1600
81,33.82899628252788,1620
82,33.82899628252788,1640
83,28.25278810408922,1660
84,28.624535315985128,1680
85,31.226765799256505,1700
86,36.43122676579926,1720
87,31.970260223048324,1740
88,41.63568773234201,1760
89,34.94423791821561,1780
90,36.43122676579926,1800
91,35.31598513011153,1820
92,34.572490706319705,1840
93,34.94423791821561,1860
94,37.54646840148699,1880
95,36.059479553903344,1900
96,45.72490706319702,1920
97,34.94423791821561,1940
98,37.54646840148699,1960
99,34.94423791821561,1980
100,44.60966542750929,2000
101,28.99628252788104,2020
102,28.99628252788104,2040
103,46.468401486988846,2060
104,36.059479553903344,2080
105,47.58364312267658,2100
106,48.698884758364315,2120
107,36.80297397769517,2140
108,28.25278810408922,2160
109,47.21189591078067,2180
110,33.08550185873606,2200
111,34.94423791821561,2220
112,46.84014869888476,2240
113,34.572490706319705,2260
114,34.94423791821561,2280
115,32.342007434944236,2300
116,42.00743494423792,2320
117,33.82899628252788,2340
118,33.08550185873606,2360
119,46.468401486988846,2380
120,36.43122676579926,2400
121,46.09665427509294,2420
122,46.468401486988846,2440
123,46.09665427509294,2460
124,32.342007434944236,2480
125,45.353159851301115,2500
126,45.353159851301115,2520
127,45.72490706319702,2540
