round,accuracy,round_time
1,8.921933085501859,30
2,10.037174721189592,60
3,15.241635687732341,90
4,10.780669144981413,120
5,10.780669144981413,150
6,12.267657992565056,180
7,15.613382899628252,210
8,15.613382899628252,240
9,14.12639405204461,270
10,12.267657992565056,300
11,18.21561338289963,330
12,18.21561338289963,360
13,13.754646840148698,390
14,15.985130111524162,420
15,16.728624535315987,450
16,29.36802973977695,480
17,21.933085501858738,510
18,22.676579925650557,540
19,26.022304832713754,570
20,24.53531598513011,600
21,23.04832713754647,630
22,25.27881040892193,660
23,19.702602230483272,690
24,30.111524163568777,720
25,21.561338289962826,750
26,26.765799256505574,780
27,31.59851301115242,810
28,26.765799256505574,840
29,30.855018587360593,870
30,34.94423791821561,900
31,32.342007434944236,930
32,34.20074349442379,960
33,34.20074349442379,990
34,25.650557620817843,1020
35,36.059479553903344,1050
36,36.059479553903344,1080
37,34.20074349442379,1110
38,34.20074349442379,1140
39,32.342007434944236,1170
40,33.457249070631974,1200
41,28.624535315985128,1230
42,34.94423791821561,1260
43,33.82899628252788,1290
44,38.66171003717472,1320
45,38.66171003717472,1350
46,39.77695167286245,1380
47,33.457249070631974,1410
48,33.82899628252788,1440
49,29.739776951672862,1470
50,37.9182156133829,1500
51,39.03345724907063,1530
52,40.89219330855018,1560
53,39.03345724907063,1590
54,39.405204460966544,1620
55,37.54646840148699,1650
56,39.405204460966544,1680
57,40.89219330855018,1710
58,39.77695167286245,1740
59,40.89219330855018,1770
60,40.520446096654275,1800
61,24.907063197026023,1830
62,26.765799256505574,1860
63,28.25278810408922,1890
64,34.20074349442379,1920
65,34.20074349442379,1950
66,43.866171003717476,1980
67,41.63568773234201,2010
68,42.37918215613383,2040
69,44.237918215613384,2070
70,43.866171003717476,2100
71,43.12267657992565,2130
72,41.63568773234201,2160
73,41.2639405204461,2190
74,40.89219330855018,2220
75,41.2639405204461,2250
76,42.37918215613383,2280
77,40.14869888475837,2310
78,40.14869888475837,2340
79,42.37918215613383,2370
80,42.37918215613383,2400
81,42.37918215613383,2430
82,42.37918215613383,2460
83,44.98141263940521,2490
84,44.60966542750929,2520
85,46.468401486988846,2550
86,46.84014869888476,2580
87,46.09665427509294,2610
88,46.84014869888476,2640
89,39.77695167286245,2670
90,44.98141263940521,2700
91,33.82899628252788,2730
92,45.353159851301115,2760
93,46.468401486988846,2790
94,42.75092936802974,2820
95,44.237918215613384,2850
96,45.353159851301115,2880
97,46.09665427509294,2910
98,47.21189591078067,2940
99,48.3271375464684,2970
100,46.468401486988846,3000
