round,accuracy,round_time
1,18.21561338289963,30
2,17.472118959107807,60
3,10.037174721189592,90
4,12.639405204460965,120
5,13.754646840148698,150
6,15.613382899628252,180
7,15.241635687732341,210
8,14.49814126394052,240
9,11.524163568773234,270
10,18.21561338289963,300
11,11.524163568773234,330
12,11.524163568773234,360
13,11.524163568773234,390
14,11.524163568773234,420
15,28.25278810408922,450
16,27.881040892193308,480
17,28.25278810408922,510
18,27.509293680297397,540
19,22.304832713754646,570
20,10.037174721189592,600
21,29.36802973977695,630
22,23.42007434944238,660
23,27.881040892193308,690
24,27.881040892193308,720
25,19.33085501858736,750
26,18.95910780669145,780
27,25.650557620817843,810
28,18.95910780669145,840
29,28.99628252788104,870
30,30.483271375464682,900
31,16.728624535315987,930
32,30.483271375464682,960
33,16.728624535315987,990
34,17.843866171003718,1020
35,18.21561338289963,1050
36,24.1635687732342,1080
37,35.31598513011153,1110
38,18.21561338289963,1140
39,36.059479553903344,1170
40,40.89219330855018,1200
41,23.79182156133829,1230
42,36.059479553903344,1260
43,23.79182156133829,1290
44,33.82899628252788,1320
45,37.54646840148699,1350
46,22.676579925650557,1380
47,39.03345724907063,1410
48,39.03345724907063,1440
49,23.79182156133829,1470
50,33.08550185873606,1500
51,28.624535315985128,1530
52,31.226765799256505,1560
53,35.31598513011153,1590
54,31.59851301115242,1620
55,30.855018587360593,1650
56,40.14869888475837,1680
57,38.28996282527881,1710
58,40.14869888475837,1740
59,38.28996282527881,1770
60,38.28996282527881,1800
61,40.14869888475837,1830
62,42.37918215613383,1860
63,37.54646840148699,1890
64,42.37918215613383,1920
65,31.970260223048324,1950
66,31.59851301115242,1980
67,20.44609665427509,2010
68,40.520446096654275,2040
69,43.49442379182156,2070
70,40.520446096654275,2100
71,43.49442379182156,2130
72,43.49442379182156,2160
73,42.37918215613383,2190
74,43.49442379182156,2220
75,34.94423791821561,2250
76,46.468401486988846,2280
77,34.94423791821561,2310
78,34.94423791821561,2340
79,40.520446096654275,2370
80,45.353159851301115,2400
81,26.394052044609666,2430
82,39.405204460966544,2460
83,26.394052044609666,2490
84,26.394052044609666,2520
85,25.650557620817843,2550
86,39.03345724907063,2580
87,46.84014869888476,2610
88,39.03345724907063,2640
89,46.84014869888476,2670
90,46.84014869888476,2700
91,34.94423791821561,2730
92,35.687732342007436,2760
93,40.520446096654275,2790
94,35.687732342007436,2820
95,40.520446096654275,2850
96,40.520446096654275,2880
97,41.2639405204461,2910
98,46.09665427509294,2940
99,44.60966542750929,2970
100,46.09665427509294,3000
101,44.60966542750929,3030
102,44.60966542750929,3060
103,42.37918215613383,3090
104,50.92936802973978,3120
105,35.31598513011153,3150
106,50.92936802973978,3180
107,46.468401486988846,3210
108,46.468401486988846,3240
109,40.89219330855018,3270
110,47.95539033457249,3300
111,41.63568773234201,3330
112,47.95539033457249,3360
113,40.89219330855018,3390
114,41.2639405204461,3420
115,43.866171003717476,3450
116,41.2639405204461,3480
117,42.75092936802974,3510
118,40.89219330855018,3540
119,42.75092936802974,3570
120,42.75092936802974,3600
121,43.866171003717476,3630
122,42.75092936802974,3660
123,41.2639405204461,3690
124,42.00743494423792,3720
125,47.58364312267658,3750
126,46.468401486988846,3780
127,47.58364312267658,3810
128,47.58364312267658,3840
129,39.77695167286245,3870
130,39.77695167286245,3900
131,47.21189591078067,3930
132,47.21189591078067,3960
133,46.84014869888476,3990
134,47.21189591078067,4020
135,44.237918215613384,4050
136,44.237918215613384,4080
137,47.95539033457249,4110
138,47.58364312267658,4140
139,44.237918215613384,4170
140,47.95539033457249,4200
141,42.00743494423792,4230
142,47.95539033457249,4260
143,46.84014869888476,4290
144,46.84014869888476,4320
145,43.49442379182156,4350
146,40.14869888475837,4380
147,48.3271375464684,4410
148,40.14869888475837,4440
149,48.3271375464684,4470
150,47.58364312267658,4500
151,47.58364312267658,4530
152,50.18587360594795,4560
153,46.09665427509294,4590
154,50.92936802973978,4620
155,46.09665427509294,4650
156,46.09665427509294,4680
157,48.698884758364315,4710
158,46.09665427509294,4740
159,44.98141263940521,4770
160,49.07063197026022,4800
161,44.98141263940521,4830
162,44.98141263940521,4860
163,46.84014869888476,4890
164,44.98141263940521,4920
165,45.353159851301115,4950
166,46.09665427509294,4980
167,45.353159851301115,5010
168,45.353159851301115,5040
169,43.866171003717476,5070
170,45.353159851301115,5100
171,46.09665427509294,5130
172,52.04460966542751,5160
173,46.09665427509294,5190
174,46.09665427509294,5220
175,48.698884758364315,5250
176,46.09665427509294,5280
177,46.468401486988846,5310
178,53.159851301115246,5340
179,46.468401486988846,5370
180,46.468401486988846,5400
181,44.60966542750929,5430
182,46.468401486988846,5460
183,41.2639405204461,5490
184,41.63568773234201,5520
185,44.237918215613384,5550
186,43.12267657992565,5580
187,43.12267657992565,5610
188,44.60966542750929,5640
189,52.41635687732342,5670
190,44.60966542750929,5700
191,42.75092936802974,5730
192,42.75092936802974,5760
193,50.92936802973978,5790
194,44.237918215613384,5820
195,53.90334572490706,5850
196,44.237918215613384,5880
197,48.3271375464684,5910
198,49.814126394052046,5940
199,45.72490706319702,5970
200,48.3271375464684,6000
201,45.72490706319702,6030
202,45.72490706319702,6060
