round,accuracy,round_time
1,19.220055710306408,80
2,33.98328690807799,160
3,40.11142061281337,240
4,47.63231197771588,320
5,47.07520891364902,400
6,47.63231197771588,480
7,53.48189415041783,560
8,50.974930362116986,640
9,49.30362116991643,720
10,52.64623955431755,800
11,56.824512534818936,880
12,58.21727019498607,960
13,60.724233983286915,1040
14,53.760445682451255,1120
15,62.67409470752089,1200
16,58.495821727019504,1280
17,61.28133704735376,1360
18,62.67409470752089,1440
19,61.28133704735376,1520
20,59.33147632311978,1600
21,62.116991643454035,1680
22,67.1309192200557,1760
23,61.55988857938719,1840
24,63.788300835654596,1920
25,65.18105849582173,2000
26,65.73816155988858,2080
27,54.874651810584965,2160
28,59.05292479108635,2240
29,64.34540389972145,2320
30,61.00278551532033,2400
31,62.116991643454035,2480
32,61.00278551532033,2560
33,66.01671309192201,2640
34,64.06685236768801,2720
35,67.40947075208913,2800
36,65.45961002785515,2880
37,70.19498607242339,2960
38,69.08077994428969,3040
39,63.231197771587745,3120
40,68.80222841225627,3200
41,72.42339832869081,3280
42,71.03064066852369,3360
43,71.58774373259052,3440
44,70.75208913649024,3520
45,74.09470752089136,3600
46,68.80222841225627,3680
47,68.24512534818942,3760
48,70.75208913649024,3840
49,73.53760445682451,3920
50,75.4874651810585,4000
51,75.20891364902506,4080
52,74.93036211699165,4160
53,76.6016713091922,4240
54,74.65181058495823,4320
55,75.76601671309191,4400
56,74.09470752089136,4480
57,75.20891364902506,4560
58,74.93036211699165,4640
59,70.19498607242339,4720
60,73.81615598885793,4800
61,74.09470752089136,4880
62,76.6016713091922,4960
63,77.15877437325905,5040
64,76.32311977715878,5120
65,73.53760445682451,5200
66,74.09470752089136,5280
