round,accuracy,round_time
1,10.037174721189592,10
2,10.037174721189592,20
3,10.037174721189592,30
4,10.037174721189592,40
5,10.037174721189592,50
6,10.037174721189592,60
7,10.037174721189592,70
8,10.037174721189592,80
9,10.037174721189592,90
10,12.639405204460965,100
11,11.895910780669144,110
12,10.037174721189592,120
13,10.037174721189592,130
14,10.037174721189592,140
15,9.66542750929368,150
16,10.037174721189592,160
17,9.66542750929368,170
18,10.037174721189592,180
19,9.66542750929368,190
20,9.66542750929368,200
21,9.66542750929368,210
22,9.66542750929368,220
23,9.66542750929368,230
24,9.66542750929368,240
25,9.66542750929368,250
26,11.524163568773234,260
27,9.66542750929368,270
28,9.66542750929368,280
30,9.66542750929368,290
31,10.780669144981413,300
32,9.66542750929368,310
33,9.66542750929368,320
34,9.66542750929368,330
35,12.639405204460965,340
36,9.66542750929368,350
37,12.267657992565056,360
38,9.66542750929368,370
39,12.639405204460965,380
40,12.639405204460965,390
41,11.524163568773234,400
42,11.524163568773234,410
43,11.895910780669144,420
44,13.011152416356877,430
45,19.33085501858736,440
46,17.100371747211895,450
47,12.267657992565056,460
48,13.011152416356877,470
49,12.267657992565056,480
50,12.267657992565056,490
51,12.267657992565056,500
52,12.267657992565056,510
53,12.267657992565056,520
54,12.267657992565056,530
55,14.869888475836431,540
56,17.472118959107807,550
58,17.472118959107807,560
59,18.587360594795538,570
60,18.587360594795538,580
61,18.587360594795538,590
62,11.152416356877323,600
64,11.152416356877323,610
65,15.613382899628252,620
66,14.49814126394052,630
67,17.472118959107807,640
68,18.21561338289963,650
69,11.152416356877323,660
70,15.613382899628252,670
71,11.152416356877323,680
72,11.152416356877323,690
73,15.241635687732341,700
74,15.985130111524162,710
75,15.613382899628252,720
76,14.869888475836431,730
77,11.152416356877323,740
