round,accuracy,round_time
1,10.037174721189592,100
2,10.037174721189592,200
3,10.037174721189592,300
4,10.037174721189592,400
5,10.037174721189592,500
6,10.037174721189592,600
7,11.895910780669144,700
8,13.754646840148698,800
9,11.524163568773234,900
10,13.754646840148698,1000
11,11.524163568773234,1100
12,11.895910780669144,1200
13,11.524163568773234,1300
14,11.524163568773234,1400
15,12.267657992565056,1500
16,15.613382899628252,1600
17,15.241635687732341,1700
18,13.011152416356877,1800
19,13.382899628252787,1900
20,12.639405204460965,2000
21,14.49814126394052,2100
22,17.100371747211895,2200
23,16.356877323420075,2300
24,17.843866171003718,2400
25,11.895910780669144,2500
26,17.100371747211895,2600
27,18.587360594795538,2700
28,15.985130111524162,2800
29,13.754646840148698,2900
30,18.21561338289963,3000
31,16.728624535315987,3100
32,14.869888475836431,3200
33,21.561338289962826,3300
34,19.33085501858736,3400
35,27.137546468401485,3500
36,29.739776951672862,3600
37,31.970260223048324,3700
38,25.650557620817843,3800
39,19.702602230483272,3900
40,20.817843866171003,4000
41,24.907063197026023,4100
42,27.509293680297397,4200
43,26.765799256505574,4300
44,26.394052044609666,4400
45,25.650557620817843,4500
46,35.31598513011153,4600
47,26.394052044609666,4700
48,18.21561338289963,4800
49,32.342007434944236,4900
50,33.08550185873606,5000
51,17.472118959107807,5100
52,38.66171003717472,5200
53,23.42007434944238,5300
54,23.04832713754647,5400
55,21.189591078066915,5500
56,33.08550185873606,5600
57,20.074349442379184,5700
58,22.304832713754646,5800
59,34.20074349442379,5900
60,36.80297397769517,6000
61,41.2639405204461,6100
62,39.77695167286245,6200
63,34.94423791821561,6300
64,41.2639405204461,6400
65,30.111524163568777,6500
66,33.82899628252788,6600
67,37.54646840148699,6700
68,39.03345724907063,6800
69,40.520446096654275,6900
70,39.77695167286245,7000
71,37.9182156133829,7100
72,39.03345724907063,7200
73,39.03345724907063,7300
74,39.77695167286245,7400
75,29.739776951672862,7500
76,40.520446096654275,7600
77,39.77695167286245,7700
78,30.111524163568777,7800
79,39.77695167286245,7900
80,40.14869888475837,8000
81,40.89219330855018,8100
82,43.12267657992565,8200
83,39.405204460966544,8300
84,40.520446096654275,8400
85,40.14869888475837,8500
86,31.226765799256505,8600
87,42.75092936802974,8700
88,43.12267657992565,8800
89,41.63568773234201,8900
90,40.89219330855018,9000
91,42.00743494423792,9100
92,41.63568773234201,9200
93,40.520446096654275,9300
94,39.77695167286245,9400
95,40.520446096654275,9500
96,42.00743494423792,9600
97,41.63568773234201,9700
98,40.89219330855018,9800
99,42.37918215613383,9900
100,42.00743494423792,10000
101,40.89219330855018,10100
102,42.75092936802974,10200
103,39.03345724907063,10300
104,40.89219330855018,10400
105,39.77695167286245,10500
106,40.14869888475837,10600
107,43.12267657992565,10700
108,43.49442379182156,10800
109,41.63568773234201,10900
110,41.63568773234201,11000
111,42.00743494423792,11100
112,41.2639405204461,11200
113,41.63568773234201,11300
114,43.866171003717476,11400
115,42.37918215613383,11500
116,41.63568773234201,11600
117,42.37918215613383,11700
118,42.00743494423792,11800
119,43.866171003717476,11900
120,44.60966542750929,12000
121,36.80297397769517,12100
122,45.72490706319702,12200
123,45.353159851301115,12300
124,42.37918215613383,12400
125,44.98141263940521,12500
126,44.98141263940521,12600
127,43.49442379182156,12700
128,42.37918215613383,12800
129,42.00743494423792,12900
130,41.63568773234201,13000
131,44.237918215613384,13100
132,44.237918215613384,13200
133,44.98141263940521,13300
134,44.98141263940521,13400
135,44.98141263940521,13500
136,43.12267657992565,13600
137,44.60966542750929,13700
138,43.866171003717476,13800
139,43.49442379182156,13900
140,44.60966542750929,14000
141,43.12267657992565,14100
142,44.98141263940521,14200
143,44.98141263940521,14300
144,45.353159851301115,14400
145,45.353159851301115,14500
146,44.98141263940521,14600
147,45.353159851301115,14700
148,44.60966542750929,14800
149,42.37918215613383,14900
150,44.60966542750929,15000
151,43.866171003717476,15100
152,44.98141263940521,15200
153,44.98141263940521,15300
154,44.98141263940521,15400
155,45.353159851301115,15500
156,45.353159851301115,15600
157,46.09665427509294,15700
158,45.72490706319702,15800
159,45.353159851301115,15900
160,45.72490706319702,16000
161,45.353159851301115,16100
162,45.353159851301115,16200
163,45.353159851301115,16300
164,45.353159851301115,16400
165,45.72490706319702,16500
166,45.72490706319702,16600
167,44.60966542750929,16700
168,45.353159851301115,16800
169,46.468401486988846,16900
170,45.72490706319702,17000
171,45.72490706319702,17100
172,45.72490706319702,17200
173,46.09665427509294,17300
174,45.353159851301115,17400
175,45.72490706319702,17500
176,44.98141263940521,17600
177,45.72490706319702,17700
178,46.468401486988846,17800
179,45.72490706319702,17900
180,45.72490706319702,18000
181,45.353159851301115,18100
182,45.353159851301115,18200
183,45.72490706319702,18300
184,45.72490706319702,18400
185,45.353159851301115,18500
186,45.353159851301115,18600
187,45.353159851301115,18700
188,45.353159851301115,18800
189,45.353159851301115,18900
190,46.09665427509294,19000
191,46.09665427509294,19100
192,45.72490706319702,19200
193,46.84014869888476,19300
194,46.468401486988846,19400
195,46.84014869888476,19500
196,46.84014869888476,19600
197,46.84014869888476,19700
198,46.84014869888476,19800
199,46.468401486988846,19900
200,46.468401486988846,20000
201,45.353159851301115,20100
202,47.58364312267658,20200
203,46.468401486988846,20300
204,46.468401486988846,20400
205,46.84014869888476,20500
206,46.84014869888476,20600
207,46.468401486988846,20700
208,46.09665427509294,20800
209,46.84014869888476,20900
210,46.468401486988846,21000
211,45.72490706319702,21100
212,44.98141263940521,21200
213,48.698884758364315,21300
214,46.09665427509294,21400
215,46.468401486988846,21500
216,45.72490706319702,21600
217,46.09665427509294,21700
218,46.09665427509294,21800
219,45.72490706319702,21900
220,46.09665427509294,22000
221,53.159851301115246,22100
222,46.468401486988846,22200
223,46.468401486988846,22300
224,46.468401486988846,22400
225,46.468401486988846,22500
226,45.353159851301115,22600
227,47.21189591078067,22700
228,47.21189591078067,22800
229,46.84014869888476,22900
230,46.468401486988846,23000
231,49.44237918215613,23100
232,46.09665427509294,23200
233,46.84014869888476,23300
234,47.21189591078067,23400
235,47.21189591078067,23500
236,46.84014869888476,23600
237,48.698884758364315,23700
238,46.468401486988846,23800
239,46.09665427509294,23900
240,46.09665427509294,24000
241,45.72490706319702,24100
242,45.72490706319702,24200
243,46.09665427509294,24300
244,46.84014869888476,24400
245,47.21189591078067,24500
246,43.49442379182156,24600
247,46.09665427509294,24700
248,46.09665427509294,24800
249,49.814126394052046,24900
250,46.84014869888476,25000
251,46.84014869888476,25100
252,47.95539033457249,25200
253,46.09665427509294,25300
254,46.468401486988846,25400
255,46.09665427509294,25500
256,46.09665427509294,25600
257,46.09665427509294,25700
258,45.72490706319702,25800
259,46.09665427509294,25900
260,46.468401486988846,26000
261,46.84014869888476,26100
262,48.698884758364315,26200
263,46.84014869888476,26300
264,46.84014869888476,26400
265,45.72490706319702,26500
266,46.09665427509294,26600
267,46.09665427509294,26700
268,46.09665427509294,26800
269,46.84014869888476,26900
270,46.468401486988846,27000
271,48.698884758364315,27100
272,47.21189591078067,27200
273,47.58364312267658,27300
274,46.468401486988846,27400
275,46.468401486988846,27500
276,46.468401486988846,27600
277,46.468401486988846,27700
278,46.84014869888476,27800
279,46.09665427509294,27900
280,46.468401486988846,28000
281,46.468401486988846,28100
282,46.468401486988846,28200
283,46.84014869888476,28300
284,47.21189591078067,28400
285,46.84014869888476,28500
286,48.3271375464684,28600
287,47.21189591078067,28700
288,47.21189591078067,28800
289,46.84014869888476,28900
290,46.84014869888476,29000
291,50.92936802973978,29100
292,47.95539033457249,29200
293,48.698884758364315,29300
294,47.95539033457249,29400
295,49.44237918215613,29500
296,50.55762081784386,29600
297,47.21189591078067,29700
298,47.95539033457249,29800
299,48.3271375464684,29900
300,48.3271375464684,30000
