round,accuracy,round_time
1,10.037174721189592,100
2,12.267657992565056,200
3,10.408921933085502,300
4,11.524163568773234,400
5,10.408921933085502,500
7,16.728624535315987,600
8,10.408921933085502,700
9,16.728624535315987,800
10,16.728624535315987,900
11,8.178438661710038,1000
12,9.293680297397769,1100
13,10.780669144981413,1200
14,8.178438661710038,1300
15,10.037174721189592,1400
16,12.639405204460965,1500
17,14.869888475836431,1600
18,13.382899628252787,1700
19,14.12639405204461,1800
20,14.869888475836431,1900
21,30.855018587360593,2000
22,30.855018587360593,2100
23,13.011152416356877,2200
24,13.011152416356877,2300
25,17.100371747211895,2400
26,13.011152416356877,2500
27,19.33085501858736,2600
28,19.33085501858736,2700
29,14.869888475836431,2800
30,15.241635687732341,2900
31,14.869888475836431,3000
32,16.356877323420075,3100
33,14.869888475836431,3200
34,18.587360594795538,3300
35,14.49814126394052,3400
36,14.49814126394052,3500
37,21.561338289962826,3600
38,11.895910780669144,3700
39,14.49814126394052,3800
40,14.12639405204461,3900
41,23.42007434944238,4000
42,23.04832713754647,4100
43,23.42007434944238,4200
44,19.702602230483272,4300
45,23.42007434944238,4400
46,30.483271375464682,4500
47,24.1635687732342,4600
48,24.1635687732342,4700
49,22.304832713754646,4800
50,24.1635687732342,4900
51,24.1635687732342,5000
52,22.304832713754646,5100
53,34.94423791821561,5200
54,24.53531598513011,5300
55,26.022304832713754,5400
56,34.94423791821561,5500
57,26.022304832713754,5600
58,26.022304832713754,5700
59,39.77695167286245,5800
60,39.77695167286245,5900
61,39.77695167286245,6000
62,39.77695167286245,6100
63,40.520446096654275,6200
64,30.855018587360593,6300
65,31.970260223048324,6400
66,36.80297397769517,6500
67,34.572490706319705,6600
68,31.970260223048324,6700
69,34.572490706319705,6800
70,37.174721189591075,6900
71,34.572490706319705,7000
72,34.572490706319705,7100
73,35.687732342007436,7200
74,34.572490706319705,7300
75,34.94423791821561,7400
76,46.84014869888476,7500
77,29.739776951672862,7600
78,31.59851301115242,7700
79,34.94423791821561,7800
80,31.59851301115242,7900
81,34.94423791821561,8000
82,34.94423791821561,8100
83,35.687732342007436,8200
84,35.687732342007436,8300
85,35.687732342007436,8400
86,33.82899628252788,8500
87,35.687732342007436,8600
88,35.687732342007436,8700
89,39.405204460966544,8800
90,35.687732342007436,8900
91,39.77695167286245,9000
92,39.405204460966544,9100
93,39.77695167286245,9200
94,32.342007434944236,9300
95,36.059479553903344,9400
96,36.059479553903344,9500
97,36.43122676579926,9600
98,36.059479553903344,9700
99,40.14869888475837,9800
100,38.66171003717472,9900
101,39.03345724907063,10000
102,39.77695167286245,10100
103,32.342007434944236,10200
104,37.9182156133829,10300
105,32.342007434944236,10400
106,34.94423791821561,10500
107,28.25278810408922,10600
108,28.25278810408922,10700
109,34.20074349442379,10800
110,27.881040892193308,10900
111,31.59851301115242,11000
112,31.59851301115242,11100
113,27.137546468401485,11200
114,28.25278810408922,11300
115,36.059479553903344,11400
116,27.137546468401485,11500
117,36.059479553903344,11600
118,36.80297397769517,11700
119,41.2639405204461,11800
120,41.2639405204461,11900
121,41.2639405204461,12000
122,41.2639405204461,12100
123,40.520446096654275,12200
124,41.2639405204461,12300
125,39.405204460966544,12400
126,40.520446096654275,12500
127,27.509293680297397,12600
128,39.405204460966544,12700
129,27.509293680297397,12800
130,34.572490706319705,12900
131,27.509293680297397,13000
132,27.509293680297397,13100
133,19.702602230483272,13200
134,27.509293680297397,13300
135,28.25278810408922,13400
136,37.54646840148699,13500
137,27.881040892193308,13600
138,26.765799256505574,13700
139,40.520446096654275,13800
140,27.881040892193308,13900
141,40.520446096654275,14000
142,40.520446096654275,14100
143,40.520446096654275,14200
144,40.520446096654275,14300
145,43.866171003717476,14400
146,40.520446096654275,14500
147,39.77695167286245,14600
148,37.9182156133829,14700
149,40.89219330855018,14800
150,43.866171003717476,14900
151,40.89219330855018,15000
152,40.89219330855018,15100
153,40.89219330855018,15200
154,42.75092936802974,15300
155,45.72490706319702,15400
156,45.72490706319702,15500
157,38.66171003717472,15600
158,46.84014869888476,15700
159,45.72490706319702,15800
160,45.72490706319702,15900
161,43.12267657992565,16000
162,43.12267657992565,16100
163,42.00743494423792,16200
164,46.468401486988846,16300
165,42.00743494423792,16400
166,44.237918215613384,16500
167,40.520446096654275,16600
168,40.520446096654275,16700
169,20.44609665427509,16800
170,40.520446096654275,16900
171,43.12267657992565,17000
172,41.63568773234201,17100
173,35.31598513011153,17200
174,46.84014869888476,17300
175,36.43122676579926,17400
176,35.31598513011153,17500
177,36.43122676579926,17600
178,37.174721189591075,17700
179,33.457249070631974,17800
180,33.457249070631974,17900
181,40.89219330855018,18000
182,36.059479553903344,18100
183,33.457249070631974,18200
184,40.520446096654275,18300
185,40.14869888475837,18400
186,33.457249070631974,18500
187,47.95539033457249,18600
188,40.14869888475837,18700
189,47.95539033457249,18800
190,47.95539033457249,18900
191,47.95539033457249,19000
192,47.95539033457249,19100
193,37.9182156133829,19200
194,47.95539033457249,19300
195,46.84014869888476,19400
196,47.21189591078067,19500
197,41.63568773234201,19600
198,43.49442379182156,19700
199,42.75092936802974,19800
200,44.60966542750929,19900
201,42.75092936802974,20000
202,42.75092936802974,20100
203,40.14869888475837,20200
204,40.14869888475837,20300
205,46.09665427509294,20400
206,40.14869888475837,20500
207,44.237918215613384,20600
208,44.237918215613384,20700
209,44.98141263940521,20800
210,45.72490706319702,20900
211,43.49442379182156,21000
212,44.98141263940521,21100
213,43.49442379182156,21200
214,40.89219330855018,21300
215,27.509293680297397,21400
216,27.509293680297397,21500
217,46.09665427509294,21600
218,29.36802973977695,21700
219,36.43122676579926,21800
220,36.43122676579926,21900
221,42.75092936802974,22000
222,41.63568773234201,22100
223,43.866171003717476,22200
224,42.75092936802974,22300
225,43.866171003717476,22400
226,39.03345724907063,22500
227,44.60966542750929,22600
228,44.60966542750929,22700
229,45.72490706319702,22800
230,44.60966542750929,22900
231,42.75092936802974,23000
232,37.9182156133829,23100
233,33.82899628252788,23200
234,43.49442379182156,23300
235,30.483271375464682,23400
236,33.82899628252788,23500
237,30.483271375464682,23600
238,43.49442379182156,23700
239,30.483271375464682,23800
240,30.483271375464682,23900
241,44.98141263940521,24000
242,30.483271375464682,24100
243,31.226765799256505,24200
244,33.08550185873606,24300
245,39.03345724907063,24400
246,44.237918215613384,24500
247,45.72490706319702,24600
248,39.03345724907063,24700
249,45.72490706319702,24800
250,45.72490706319702,24900
251,41.63568773234201,25000
252,41.63568773234201,25100
253,36.43122676579926,25200
254,41.63568773234201,25300
255,39.405204460966544,25400
256,46.468401486988846,25500
257,43.866171003717476,25600
258,49.814126394052046,25700
259,47.21189591078067,25800
260,43.866171003717476,25900
261,47.21189591078067,26000
262,39.405204460966544,26100
263,46.84014869888476,26200
264,46.84014869888476,26300
265,44.60966542750929,26400
266,46.84014869888476,26500
267,46.84014869888476,26600
268,50.18587360594795,26700
269,48.3271375464684,26800
270,49.07063197026022,26900
271,42.00743494423792,27000
272,48.3271375464684,27100
273,42.00743494423792,27200
274,42.00743494423792,27300
275,48.3271375464684,27400
276,48.3271375464684,27500
277,33.82899628252788,27600
278,48.3271375464684,27700
279,47.58364312267658,27800
280,46.468401486988846,27900
281,49.07063197026022,28000
282,47.58364312267658,28100
283,44.60966542750929,28200
284,49.07063197026022,28300
285,44.60966542750929,28400
286,45.72490706319702,28500
287,49.814126394052046,28600
288,49.814126394052046,28700
289,46.09665427509294,28800
290,49.814126394052046,28900
291,49.07063197026022,29000
292,46.84014869888476,29100
293,47.21189591078067,29200
294,49.44237918215613,29300
295,50.55762081784386,29400
296,49.07063197026022,29500
297,50.55762081784386,29600
298,39.405204460966544,29700
299,50.55762081784386,29800
300,50.55762081784386,29900
301,40.520446096654275,30000
302,50.55762081784386,30100
303,51.6728624535316,30200
304,51.6728624535316,30300
305,47.95539033457249,30400
306,50.18587360594795,30500
307,36.059479553903344,30600
308,47.95539033457249,30700
309,36.059479553903344,30800
310,36.059479553903344,30900
311,44.98141263940521,31000
312,44.98141263940521,31100
313,45.353159851301115,31200
314,49.07063197026022,31300
315,44.98141263940521,31400
316,40.520446096654275,31500
317,46.84014869888476,31600
318,44.98141263940521,31700
319,46.468401486988846,31800
320,46.84014869888476,31900
321,46.468401486988846,32000
322,48.698884758364315,32100
323,51.301115241635685,32200
