round,accuracy,round_time
1,13.382899628252787,100
2,10.037174721189592,200
3,10.037174721189592,300
4,10.037174721189592,400
5,10.408921933085502,500
6,10.037174721189592,600
7,12.639405204460965,700
8,15.613382899628252,800
9,11.524163568773234,900
10,15.241635687732341,1000
11,18.21561338289963,1100
12,20.074349442379184,1200
13,17.100371747211895,1300
14,19.702602230483272,1400
15,23.04832713754647,1500
16,20.44609665427509,1600
17,18.587360594795538,1700
18,24.53531598513011,1800
19,23.04832713754647,1900
20,26.765799256505574,2000
21,24.53531598513011,2100
22,23.42007434944238,2200
23,27.881040892193308,2300
24,25.650557620817843,2400
25,20.817843866171003,2500
26,23.04832713754647,2600
27,24.907063197026023,2700
28,26.394052044609666,2800
29,24.907063197026023,2900
30,26.394052044609666,3000
31,26.394052044609666,3100
32,25.650557620817843,3200
33,26.394052044609666,3300
34,25.650557620817843,3400
35,27.137546468401485,3500
36,27.509293680297397,3600
37,24.53531598513011,3700
38,43.12267657992565,3800
39,31.970260223048324,3900
40,34.20074349442379,4000
41,29.739776951672862,4100
42,31.970260223048324,4200
43,42.00743494423792,4300
44,44.98141263940521,4400
45,44.98141263940521,4500
46,44.98141263940521,4600
47,44.237918215613384,4700
48,44.98141263940521,4800
49,44.237918215613384,4900
50,44.98141263940521,5000
51,43.12267657992565,5100
52,44.60966542750929,5200
53,45.353159851301115,5300
54,43.12267657992565,5400
55,45.72490706319702,5500
56,44.60966542750929,5600
57,45.72490706319702,5700
58,43.49442379182156,5800
59,43.866171003717476,5900
60,44.237918215613384,6000
61,44.98141263940521,6100
62,45.353159851301115,6200
63,44.237918215613384,6300
64,44.237918215613384,6400
65,44.237918215613384,6500
66,44.237918215613384,6600
67,45.72490706319702,6700
68,45.72490706319702,6800
69,44.60966542750929,6900
70,43.49442379182156,7000
71,46.09665427509294,7100
72,46.09665427509294,7200
73,46.468401486988846,7300
74,46.09665427509294,7400
75,49.07063197026022,7500
76,48.698884758364315,7600
77,45.72490706319702,7700
78,47.58364312267658,7800
79,45.353159851301115,7900
80,44.98141263940521,8000
81,46.09665427509294,8100
82,45.72490706319702,8200
83,44.237918215613384,8300
84,42.75092936802974,8400
85,46.468401486988846,8500
86,45.353159851301115,8600
87,43.866171003717476,8700
88,45.353159851301115,8800
89,46.09665427509294,8900
90,46.84014869888476,9000
91,49.44237918215613,9100
92,49.44237918215613,9200
93,49.814126394052046,9300
94,48.3271375464684,9400
95,46.84014869888476,9500
96,45.72490706319702,9600
97,47.21189591078067,9700
98,44.98141263940521,9800
99,46.468401486988846,9900
100,46.84014869888476,10000
101,46.468401486988846,10100
102,46.09665427509294,10200
103,46.09665427509294,10300
104,46.09665427509294,10400
105,47.21189591078067,10500
106,47.95539033457249,10600
107,47.58364312267658,10700
108,47.95539033457249,10800
109,46.09665427509294,10900
110,46.09665427509294,11000
111,45.72490706319702,11100
112,46.468401486988846,11200
113,46.09665427509294,11300
114,46.09665427509294,11400
115,45.353159851301115,11500
116,46.09665427509294,11600
117,46.468401486988846,11700
118,46.09665427509294,11800
119,46.84014869888476,11900
120,46.84014869888476,12000
121,44.60966542750929,12100
122,46.468401486988846,12200
123,46.84014869888476,12300
124,49.44237918215613,12400
125,47.58364312267658,12500
126,46.84014869888476,12600
127,44.98141263940521,12700
128,46.84014869888476,12800
129,47.58364312267658,12900
130,47.58364312267658,13000
131,46.84014869888476,13100
132,46.468401486988846,13200
133,55.39033457249071,13300
134,49.44237918215613,13400
135,48.698884758364315,13500
136,50.92936802973978,13600
137,50.55762081784386,13700
138,49.814126394052046,13800
139,48.3271375464684,13900
140,47.58364312267658,14000
141,49.07063197026022,14100
142,47.95539033457249,14200
143,48.698884758364315,14300
144,47.95539033457249,14400
145,48.698884758364315,14500
146,47.58364312267658,14600
147,50.55762081784386,14700
148,50.55762081784386,14800
149,48.3271375464684,14900
150,48.3271375464684,15000
151,49.44237918215613,15100
152,48.3271375464684,15200
153,49.44237918215613,15300
154,47.95539033457249,15400
155,48.3271375464684,15500
156,48.3271375464684,15600
157,48.698884758364315,15700
158,48.3271375464684,15800
159,47.95539033457249,15900
160,46.84014869888476,16000
161,50.18587360594795,16100
162,50.55762081784386,16200
163,50.55762081784386,16300
164,49.07063197026022,16400
165,49.44237918215613,16500
166,49.814126394052046,16600
167,49.44237918215613,16700
168,49.07063197026022,16800
169,48.3271375464684,16900
170,48.698884758364315,17000
171,51.6728624535316,17100
172,50.18587360594795,17200
173,52.04460966542751,17300
174,51.301115241635685,17400
175,50.55762081784386,17500
176,51.6728624535316,17600
177,51.6728624535316,17700
178,53.90334572490706,17800
179,55.01858736059479,17900
180,54.646840148698885,18000
181,53.53159851301115,18100
182,51.6728624535316,18200
183,52.41635687732342,18300
184,52.41635687732342,18400
185,50.55762081784386,18500
186,51.301115241635685,18600
187,53.159851301115246,18700
188,52.41635687732342,18800
189,52.04460966542751,18900
190,52.41635687732342,19000
191,53.159851301115246,19100
192,53.159851301115246,19200
193,57.249070631970255,19300
194,56.50557620817844,19400
195,57.62081784386617,19500
196,54.27509293680297,19600
197,53.159851301115246,19700
198,51.301115241635685,19800
199,51.6728624535316,19900
200,53.90334572490706,20000
201,56.877323420074354,20100
202,53.90334572490706,20200
203,55.01858736059479,20300
204,56.50557620817844,20400
205,56.13382899628253,20500
206,57.62081784386617,20600
207,57.62081784386617,20700
208,59.10780669144982,20800
209,56.50557620817844,20900
210,55.39033457249071,21000
211,55.762081784386616,21100
212,53.53159851301115,21200
213,53.90334572490706,21300
214,53.90334572490706,21400
215,55.39033457249071,21500
216,54.646840148698885,21600
217,55.39033457249071,21700
218,55.01858736059479,21800
219,55.01858736059479,21900
220,54.646840148698885,22000
221,55.01858736059479,22100
222,56.50557620817844,22200
223,57.62081784386617,22300
224,55.762081784386616,22400
225,55.39033457249071,22500
226,53.90334572490706,22600
227,53.159851301115246,22700
228,55.39033457249071,22800
229,53.53159851301115,22900
230,53.90334572490706,23000
231,61.71003717472119,23100
232,59.10780669144982,23200
233,61.71003717472119,23300
234,60.223048327137555,23400
235,58.36431226765799,23500
236,59.10780669144982,23600
237,54.646840148698885,23700
238,56.50557620817844,23800
239,56.13382899628253,23900
240,53.90334572490706,24000
241,59.479553903345725,24100
242,59.85130111524164,24200
