round,accuracy,round_time
1,15.985130111524162,100
2,17.472118959107807,200
3,12.639405204460965,300
4,19.702602230483272,400
5,18.95910780669145,500
6,14.869888475836431,600
7,23.04832713754647,700
8,20.074349442379184,800
9,31.970260223048324,900
10,31.970260223048324,1000
11,25.27881040892193,1100
12,20.817843866171003,1200
13,20.817843866171003,1300
14,22.676579925650557,1400
15,24.1635687732342,1500
16,32.342007434944236,1600
17,28.99628252788104,1700
18,43.12267657992565,1800
19,32.342007434944236,1900
20,31.226765799256505,2000
21,27.881040892193308,2100
22,28.624535315985128,2200
23,41.63568773234201,2300
24,40.520446096654275,2400
25,34.20074349442379,2500
26,39.405204460966544,2600
27,35.31598513011153,2700
28,35.31598513011153,2800
29,37.54646840148699,2900
30,42.00743494423792,3000
31,41.63568773234201,3100
32,40.520446096654275,3200
33,38.28996282527881,3300
34,44.60966542750929,3400
35,39.405204460966544,3500
36,39.03345724907063,3600
37,39.77695167286245,3700
38,34.572490706319705,3800
39,35.31598513011153,3900
40,35.31598513011153,4000
41,38.66171003717472,4100
42,41.2639405204461,4200
43,44.237918215613384,4300
44,44.60966542750929,4400
45,40.89219330855018,4500
46,44.98141263940521,4600
47,50.92936802973978,4700
48,50.92936802973978,4800
49,45.72490706319702,4900
50,42.37918215613383,5000
51,36.43122676579926,5100
52,30.855018587360593,5200
53,39.03345724907063,5300
54,37.174721189591075,5400
55,41.63568773234201,5500
56,38.66171003717472,5600
57,44.237918215613384,5700
58,41.2639405204461,5800
59,42.37918215613383,5900
60,42.37918215613383,6000
61,42.75092936802974,6100
62,44.237918215613384,6200
63,46.84014869888476,6300
64,49.07063197026022,6400
65,43.49442379182156,6500
66,43.12267657992565,6600
67,44.237918215613384,6700
68,46.84014869888476,6800
69,46.468401486988846,6900
70,46.468401486988846,7000
71,47.58364312267658,7100
72,46.09665427509294,7200
73,48.698884758364315,7300
74,50.55762081784386,7400
75,50.55762081784386,7500
76,47.95539033457249,7600
77,47.58364312267658,7700
78,47.58364312267658,7800
79,35.687732342007436,7900
80,52.41635687732342,8000
81,53.53159851301115,8100
82,44.98141263940521,8200
83,53.159851301115246,8300
84,51.6728624535316,8400
85,52.78810408921933,8500
86,49.44237918215613,8600
87,52.78810408921933,8700
88,49.44237918215613,8800
89,49.07063197026022,8900
90,49.07063197026022,9000
91,49.07063197026022,9100
92,50.18587360594795,9200
93,46.468401486988846,9300
94,49.44237918215613,9400
95,50.18587360594795,9500
96,50.18587360594795,9600
97,44.60966542750929,9700
98,49.814126394052046,9800
99,48.3271375464684,9900
100,49.814126394052046,10000
101,50.92936802973978,10100
102,50.18587360594795,10200
103,36.059479553903344,10300
104,50.55762081784386,10400
105,50.55762081784386,10500
106,54.646840148698885,10600
107,49.07063197026022,10700
108,49.07063197026022,10800
109,50.18587360594795,10900
110,50.92936802973978,11000
111,47.58364312267658,11100
112,48.3271375464684,11200
113,50.55762081784386,11300
114,49.44237918215613,11400
115,50.18587360594795,11500
116,55.762081784386616,11600
117,56.13382899628253,11700
118,51.6728624535316,11800
119,42.00743494423792,11900
120,42.00743494423792,12000
121,44.237918215613384,12100
122,50.18587360594795,12200
123,46.468401486988846,12300
124,47.95539033457249,12400
125,51.301115241635685,12500
126,49.814126394052046,12600
127,49.07063197026022,12700
128,48.3271375464684,12800
129,48.698884758364315,12900
130,53.159851301115246,13000
131,50.55762081784386,13100
132,43.12267657992565,13200
133,47.58364312267658,13300
134,48.698884758364315,13400
135,48.3271375464684,13500
136,49.07063197026022,13600
137,53.159851301115246,13700
138,54.646840148698885,13800
139,50.92936802973978,13900
140,56.13382899628253,14000
141,55.762081784386616,14100
142,55.39033457249071,14200
143,57.99256505576208,14300
144,54.646840148698885,14400
145,51.301115241635685,14500
146,49.07063197026022,14600
147,54.646840148698885,14700
148,55.762081784386616,14800
149,53.53159851301115,14900
150,53.53159851301115,15000
151,58.7360594795539,15100
152,54.27509293680297,15200
153,55.01858736059479,15300
154,55.762081784386616,15400
155,53.53159851301115,15500
156,53.53159851301115,15600
157,56.13382899628253,15700
158,48.3271375464684,15800
159,55.01858736059479,15900
160,52.41635687732342,16000
161,53.90334572490706,16100
162,52.41635687732342,16200
163,55.01858736059479,16300
164,55.01858736059479,16400
165,54.27509293680297,16500
166,53.90334572490706,16600
167,55.762081784386616,16700
168,55.01858736059479,16800
169,52.04460966542751,16900
170,52.04460966542751,17000
171,52.78810408921933,17100
172,51.6728624535316,17200
173,54.27509293680297,17300
174,54.27509293680297,17400
175,55.762081784386616,17500
176,55.01858736059479,17600
177,55.39033457249071,17700
178,52.41635687732342,17800
179,55.762081784386616,17900
180,56.50557620817844,18000
181,55.762081784386616,18100
182,55.01858736059479,18200
183,59.10780669144982,18300
184,58.36431226765799,18400
185,56.50557620817844,18500
186,56.877323420074354,18600
187,53.53159851301115,18700
188,52.78810408921933,18800
189,56.50557620817844,18900
190,53.90334572490706,19000
191,55.39033457249071,19100
192,54.646840148698885,19200
193,51.6728624535316,19300
194,54.646840148698885,19400
195,55.01858736059479,19500
196,55.01858736059479,19600
197,56.50557620817844,19700
198,56.50557620817844,19800
199,56.877323420074354,19900
200,58.36431226765799,20000
201,58.36431226765799,20100
202,56.877323420074354,20200
203,44.237918215613384,20300
204,57.62081784386617,20400
205,57.249070631970255,20500
206,53.90334572490706,20600
207,54.27509293680297,20700
208,47.58364312267658,20800
209,57.62081784386617,20900
210,57.62081784386617,21000
211,61.71003717472119,21100
212,60.594795539033456,21200
213,58.36431226765799,21300
214,59.10780669144982,21400
215,55.39033457249071,21500
216,55.39033457249071,21600
217,57.249070631970255,21700
218,56.877323420074354,21800
219,57.62081784386617,21900
220,56.877323420074354,22000
221,52.04460966542751,22100
222,50.55762081784386,22200
223,56.13382899628253,22300
224,55.39033457249071,22400
225,59.85130111524164,22500
226,62.825278810408925,22600
227,54.646840148698885,22700
228,57.249070631970255,22800
229,57.249070631970255,22900
230,62.45353159851301,23000
231,56.50557620817844,23100
232,53.90334572490706,23200
233,58.36431226765799,23300
234,60.594795539033456,23400
235,60.966542750929364,23500
236,61.33828996282528,23600
237,57.99256505576208,23700
238,63.19702602230484,23800
239,52.41635687732342,23900
240,52.41635687732342,24000
241,56.50557620817844,24100
242,60.966542750929364,24200
243,60.223048327137555,24300
244,60.223048327137555,24400
245,61.71003717472119,24500
246,62.825278810408925,24600
247,63.19702602230484,24700
248,63.94052044609665,24800
249,63.94052044609665,24900
250,62.0817843866171,25000
251,64.31226765799256,25100
252,63.94052044609665,25200
253,61.71003717472119,25300
254,63.56877323420075,25400
255,63.94052044609665,25500
256,62.0817843866171,25600
257,59.10780669144982,25700
258,59.479553903345725,25800
259,65.79925650557621,25900
260,65.4275092936803,26000
261,65.05576208178438,26100
262,62.45353159851301,26200
263,61.71003717472119,26300
264,61.71003717472119,26400
265,65.05576208178438,26500
266,65.79925650557621,26600
267,62.45353159851301,26700
268,66.54275092936803,26800
269,65.05576208178438,26900
270,65.4275092936803,27000
271,56.877323420074354,27100
272,59.85130111524164,27200
273,55.762081784386616,27300
274,63.94052044609665,27400
275,60.594795539033456,27500
276,61.33828996282528,27600
277,56.877323420074354,27700
278,61.71003717472119,27800
279,63.56877323420075,27900
280,67.28624535315984,28000
281,65.05576208178438,28100
282,66.17100371747212,28200
283,63.94052044609665,28300
284,64.31226765799256,28400
285,63.19702602230484,28500
286,63.94052044609665,28600
287,68.77323420074349,28700
288,68.77323420074349,28800
289,66.54275092936803,28900
290,59.479553903345725,29000
291,56.50557620817844,29100
292,59.85130111524164,29200
293,60.223048327137555,29300
294,67.28624535315984,29400
295,62.45353159851301,29500
296,65.79925650557621,29600
297,64.31226765799256,29700
298,65.05576208178438,29800
299,71.00371747211895,29900
300,71.00371747211895,30000
301,63.56877323420075,30100
302,66.54275092936803,30200
303,68.40148698884758,30300
304,70.26022304832715,30400
305,64.68401486988847,30500
306,65.4275092936803,30600
307,68.40148698884758,30700
308,67.28624535315984,30800
309,65.4275092936803,30900
310,66.17100371747212,31000
311,68.02973977695167,31100
312,68.02973977695167,31200
313,70.26022304832715,31300
