round,accuracy,round_time
1,10.209999999999999,40
2,10.58,80
3,23.14,120
4,34.25,160
5,34.29,200
6,11.83,240
7,12.72,280
8,25.569999999999997,320
9,21.4,360
10,24.099999999999998,400
11,44.51,440
12,35.19,480
13,43.04,520
14,50.7,560
15,37.41,600
16,49.11,640
17,43.59,680
18,47.660000000000004,720
19,45.5,760
20,66.28,800
21,57.69,840
22,56.98,880
23,64.61,920
24,61.4,960
25,60.550000000000004,1000
26,77.97,1040
27,69.28999999999999,1080
28,68.88,1120
29,75.01,1160
30,77.56,1200
31,79.82000000000001,1240
32,76.75999999999999,1280
33,83.47,1320
34,88.97,1360
35,81.84,1400
36,84.78999999999999,1440
37,83.78,1480
38,84.85000000000001,1520
39,88.26,1560
40,85.08,1600
41,90.18,1640
42,88.94999999999999,1680
43,89.77000000000001,1720
44,89.23,1760
45,91.23,1800
46,90.86999999999999,1840
47,89.9,1880
48,89.56,1920
49,93.67,1960
50,93.31,2000
51,93.97,2040
52,93.96,2080
53,93.72,2120
54,93.92,2160
55,94.25,2200
56,91.39,2240
57,93.56,2280
58,93.53,2320
59,94.45,2360
60,95.19,2400
