round,accuracy,round_time
1,17.737003058103976,20
2,18.195718654434252,40
3,19.26605504587156,60
4,20.948012232415902,80
5,21.712538226299692,100
6,22.018348623853214,120
7,24.464831804281346,140
8,23.853211009174313,160
9,24.159021406727827,180
10,27.217125382262996,200
11,23.547400611620795,220
12,23.08868501529052,240
13,23.24159021406728,260
14,23.700305810397555,280
15,23.853211009174313,300
16,22.782874617737004,320
17,21.712538226299692,340
18,25.688073394495415,360
19,24.00611620795107,380
20,24.617737003058103,400
21,29.204892966360855,420
22,30.58103975535168,440
23,27.981651376146786,460
24,29.96941896024465,480
25,27.981651376146786,500
26,34.403669724770644,520
27,31.49847094801223,540
28,27.981651376146786,560
29,25.688073394495415,580
30,30.428134556574925,600
31,31.65137614678899,620
32,36.391437308868504,640
33,37.920489296636084,660
34,40.51987767584097,680
35,39.44954128440367,700
36,38.07339449541284,720
37,43.11926605504588,740
38,43.425076452599384,760
39,41.74311926605505,780
40,36.391437308868504,800
41,33.18042813455658,820
42,33.18042813455658,840
43,42.96636085626911,860
44,39.60244648318042,880
45,34.862385321100916,900
46,37.15596330275229,920
47,38.07339449541284,940
48,36.69724770642202,960
49,34.862385321100916,980
50,36.23853211009174,1000
51,34.09785932721712,1020
52,38.07339449541284,1040
53,35.015290519877674,1060
54,35.16819571865443,1080
55,36.391437308868504,1100
56,39.296636085626915,1120
57,39.296636085626915,1140
58,33.02752293577982,1160
59,41.896024464831804,1180
60,41.896024464831804,1200
61,45.718654434250766,1220
62,36.391437308868504,1240
63,43.27217125382263,1260
64,45.718654434250766,1280
65,46.94189602446483,1300
66,48.1651376146789,1320
67,40.0611620795107,1340
68,45.25993883792049,1360
69,40.51987767584097,1380
70,39.75535168195719,1400
71,39.908256880733944,1420
72,40.51987767584097,1440
73,42.201834862385326,1460
74,40.51987767584097,1480
75,38.68501529051988,1500
76,29.510703363914377,1520
77,42.813455657492355,1540
78,36.08562691131498,1560
79,43.730886850152906,1580
80,45.412844036697244,1600
81,45.25993883792049,1620
82,44.95412844036697,1640
83,47.24770642201835,1660
84,46.17737003058104,1680
85,47.40061162079511,1700
86,53.21100917431193,1720
87,52.752293577981646,1740
88,45.87155963302752,1760
89,50.917431192660544,1780
90,49.84709480122324,1800
91,50.45871559633027,1820
92,51.98776758409785,1840
93,51.52905198776758,1860
94,51.07033639143731,1880
95,52.44648318042814,1900
96,50.30581039755352,1920
97,51.98776758409785,1940
98,52.752293577981646,1960
99,52.14067278287462,1980
100,55.81039755351682,2000
101,39.14373088685015,2020
102,50.61162079510704,2040
103,55.198776758409785,2060
104,40.214067278287466,2080
105,44.18960244648318,2100
106,50.764525993883794,2120
107,54.12844036697248,2140
108,56.42201834862385,2160
109,58.256880733944946,2180
110,56.269113149847094,2200
111,55.35168195718655,2220
