round,accuracy,round_time
2,28.32,10
3,28.32,20
4,17.66,30
5,17.66,40
6,17.66,50
7,31.900000000000002,60
8,33.73,70
9,37.9,80
10,38.879999999999995,90
11,38.879999999999995,100
12,38.879999999999995,110
13,27.47,120
14,27.47,130
15,27.47,140
16,31.09,150
17,31.59,160
18,31.59,170
19,38.74,180
20,51.05,190
21,56.45,200
22,62.27,210
23,62.27,220
24,64.46,230
25,63.92,240
26,63.449999999999996,250
27,64.16,260
28,59.31999999999999,270
29,62.38,280
30,68.46,290
31,66.17,300
32,73.69,310
33,66.02,320
34,72.39,330
35,72.39,340
36,72.39,350
37,35.36,360
38,35.36,370
39,47.58,380
40,47.58,390
41,53.849999999999994,400
42,53.849999999999994,410
43,63.629999999999995,420
44,62.55,430
45,74.67,440
46,73.00999999999999,450
47,69.43,460
48,41.64,470
49,41.64,480
50,41.64,490
51,43.95,500
52,43.95,510
53,58.489999999999995,520
54,64.8,530
55,62.19,540
56,57.04,550
57,70.39,560
58,63.629999999999995,570
59,51.580000000000005,580
60,51.580000000000005,590
61,51.580000000000005,600
62,51.580000000000005,610
63,33.019999999999996,620
64,33.019999999999996,630
65,49.39,640
66,49.39,650
67,49.39,660
68,49.39,670
69,51.18000000000001,680
70,51.18000000000001,690
71,51.18000000000001,700
72,63.029999999999994,710
73,73.27,720
74,75.59,730
75,72.11,740
76,87.5,750
77,86.02,760
78,86.02,770
79,86.02,780
80,64.94,790
81,64.94,800
82,73.14,810
83,81.07,820
84,78.36999999999999,830
85,87.69,840
86,91.16,850
87,90.84,860
88,90.84,870
89,87.88,880
90,87.88,890
91,87.88,900
92,87.88,910
93,89.41,920
94,83.57,930
95,86.88,940
96,84.59,950
97,83.15,960
98,83.48,970
99,83.43,980
100,85.54,990
101,86.25,1000
102,82.69999999999999,1010
103,82.69999999999999,1020
104,86.48,1030
105,86.48,1040
106,86.48,1050
107,85.53,1060
108,85.53,1070
109,85.53,1080
110,85.53,1090
111,85.53,1100
112,76.82,1110
113,76.82,1120
114,76.82,1130
115,80.08999999999999,1140
116,82.25,1150
117,82.25,1160
118,88.25,1170
119,85.45,1180
120,86.02,1190
121,85.88,1200
122,82.99,1210
123,84.57000000000001,1220
124,85.87,1230
125,85.96000000000001,1240
126,85.86,1250
127,86.77,1260
128,86.76,1270
129,86.72999999999999,1280
130,86.26,1290
131,86.26,1300
132,83.43,1310
133,90.7,1320
134,93.51,1330
135,93.51,1340
136,89.22,1350
137,92.97,1360
138,92.97,1370
139,89.61,1380
140,90.33,1390
141,92.04,1400
142,93.06,1410
143,93.47999999999999,1420
144,90.09,1430
145,92.5,1440
146,88.57000000000001,1450
147,88.57000000000001,1460
148,88.57000000000001,1470
149,91.69,1480
150,92.14,1490
151,93.77,1500
152,93.89,1510
153,93.8,1520
154,93.28999999999999,1530
155,93.28999999999999,1540
156,90.92,1550
157,92.02,1560
158,92.51,1570
159,92.51,1580
160,95.17999999999999,1590
