round,accuracy,round_time
1,20.26,40
2,31.77,80
3,38.72,120
4,40.68,160
5,29.060000000000002,200
6,27.71,240
7,33.800000000000004,280
8,33.489999999999995,320
9,48.980000000000004,360
10,49.95,400
11,41.54,440
12,41.64,480
13,41.64,520
14,31.919999999999998,560
15,59.39,600
16,29.659999999999997,640
17,29.659999999999997,680
18,30.8,720
19,30.819999999999997,760
20,30.84,800
21,30.84,840
22,29.509999999999998,880
23,29.68,920
24,29.68,960
25,29.68,1000
26,29.68,1040
27,29.68,1080
28,29.68,1120
29,29.68,1160
30,29.68,1200
31,29.68,1240
32,29.68,1280
33,29.68,1320
34,29.68,1360
35,29.68,1400
36,29.68,1440
37,29.68,1480
38,29.68,1520
39,29.68,1560
40,29.68,1600
41,29.68,1640
42,29.68,1680
43,29.68,1720
44,29.68,1760
45,29.68,1800
46,29.68,1840
47,29.68,1880
48,29.68,1920
49,29.68,1960
50,29.68,2000
51,29.68,2040
52,29.68,2080
53,29.68,2120
54,29.68,2160
55,29.68,2200
56,29.68,2240
57,29.68,2280
58,29.68,2320
59,29.68,2360
60,29.68,2400
61,29.68,2440
62,29.68,2480
63,29.68,2520
64,29.68,2560
65,29.68,2600
66,29.68,2640
67,29.68,2680
68,29.68,2720
69,29.68,2760
70,29.68,2800
71,29.68,2840
72,29.68,2880
73,29.68,2920
74,29.68,2960
75,29.68,3000
76,29.68,3040
77,29.68,3080
78,29.68,3120
79,29.68,3160
80,29.68,3200
81,29.68,3240
82,29.68,3280
83,29.68,3320
84,29.68,3360
85,29.68,3400
86,29.68,3440
87,29.68,3480
88,29.68,3520
89,29.68,3560
90,29.68,3600
91,29.68,3640
92,29.68,3680
93,29.68,3720
94,29.68,3760
95,29.68,3800
96,29.68,3840
97,29.68,3880
98,29.68,3920
99,29.68,3960
100,29.68,4000
101,29.68,4040
102,29.68,4080
103,29.68,4120
104,29.68,4160
105,29.68,4200
106,29.68,4240
107,29.68,4280
108,29.68,4320
109,29.68,4360
110,29.68,4400
111,29.68,4440
112,29.68,4480
113,29.68,4520
114,29.68,4560
115,29.68,4600
116,29.68,4640
117,29.68,4680
118,29.68,4720
119,29.68,4760
120,29.68,4800
121,29.68,4840
122,29.68,4880
123,29.68,4920
124,29.68,4960
125,29.68,5000
126,29.68,5040
127,29.68,5080
128,29.68,5120
129,29.68,5160
130,29.68,5200
131,29.68,5240
132,29.68,5280
133,29.68,5320
134,29.68,5360
135,29.68,5400
136,29.68,5440
137,29.68,5480
138,29.68,5520
139,29.68,5560
140,29.68,5600
141,29.68,5640
142,29.68,5680
143,29.68,5720
144,29.68,5760
145,29.68,5800
146,29.68,5840
147,29.68,5880
148,29.68,5920
149,29.68,5960
150,29.68,6000
151,29.68,6040
152,29.68,6080
153,29.68,6120
154,29.68,6160
155,29.68,6200
156,29.68,6240
157,29.68,6280
158,29.68,6320
159,29.68,6360
160,29.68,6400
161,29.68,6440
162,29.68,6480
163,29.68,6520
164,29.68,6560
165,29.68,6600
166,29.68,6640
167,29.68,6680
168,29.68,6720
169,29.68,6760
170,29.68,6800
171,29.68,6840
172,29.68,6880
173,29.68,6920
174,29.68,6960
175,29.68,7000
176,29.68,7040
177,29.68,7080
178,29.68,7120
179,29.68,7160
180,29.68,7200
