round,accuracy,round_time
1,0,20
2,23.65,40
3,23.65,60
4,28.17,80
5,28.17,100
6,29.799999999999997,120
7,30.69,140
8,25.729999999999997,160
9,20.599999999999998,180
10,28.79,200
11,29.87,220
12,28.26,240
13,29.17,260
14,26.71,280
15,29.360000000000003,300
16,27.24,320
17,12.520000000000001,340
18,17.26,360
19,25.509999999999998,380
20,25.509999999999998,400
21,18.35,420
22,29.15,440
23,29.15,460
24,28.449999999999996,480
25,28.95,500
26,30.42,520
27,30.42,540
28,26.32,560
29,26.32,580
30,35.449999999999996,600
31,17.72,620
32,17.72,640
33,8.92,660
34,39.53,680
35,24.5,700
36,24.5,720
37,24.72,740
38,24.72,760
39,24.72,780
40,24.72,800
41,26.400000000000002,820
42,36.39,840
43,35.47,860
44,33.94,880
45,28.910000000000004,900
46,26.669999999999998,920
47,29.580000000000002,940
48,29.580000000000002,960
49,23.97,980
50,40.77,1000
51,40.77,1020
52,22.96,1040
53,22.96,1060
54,29.799999999999997,1080
55,44.18,1100
56,44.18,1120
57,42.52,1140
58,36.82,1160
59,36.82,1180
60,46.02,1200
61,38.9,1220
62,38.9,1240
63,36.32,1260
64,49.69,1280
65,40.08,1300
66,44.41,1320
67,44.41,1340
68,44.41,1360
69,30.630000000000003,1380
70,30.630000000000003,1400
71,33.87,1420
72,54.2,1440
73,32.7,1460
74,49.82,1480
75,57.92,1500
76,57.92,1520
77,44.61,1540
78,44.05,1560
79,51.980000000000004,1580
80,51.080000000000005,1600
81,75.42,1620
82,67.04,1640
83,77.08,1660
84,55.75,1680
85,55.57,1700
86,79.81,1720
87,56.36,1740
88,55.24,1760
89,54.010000000000005,1780
90,67.89,1800
91,64.85,1820
92,66.7,1840
93,66.7,1860
94,67.91,1880
95,56.16,1900
96,56.16,1920
97,73.63,1940
98,73.63,1960
99,62.44,1980
100,62.25000000000001,2000
101,62.25000000000001,2020
102,50.260000000000005,2040
103,50.260000000000005,2060
104,50.260000000000005,2080
105,80.38,2100
106,80.38,2120
107,80.38,2140
108,68.11,2160
109,68.11,2180
110,76.58,2200
111,80.27,2220
112,80.27,2240
113,64.42999999999999,2260
114,74.38,2280
115,66.33,2300
116,56.39999999999999,2320
117,56.39999999999999,2340
118,76.9,2360
119,68.74,2380
120,77.86,2400
121,77.86,2420
122,77.86,2440
123,84.77,2460
124,77.07000000000001,2480
125,77.07000000000001,2500
126,59.3,2520
127,77.56,2540
128,69.42,2560
129,80.72,2580
130,85.17,2600
131,85.17,2620
132,76.89,2640
133,76.89,2660
134,82.47,2680
135,82.47,2700
136,75.29,2720
137,82.82000000000001,2740
138,73.34,2760
139,73.61999999999999,2780
140,66.33,2800
141,66.33,2820
142,86.16,2840
143,66.95,2860
144,71.07,2880
145,71.07,2900
146,87.26,2920
147,90.42,2940
148,83.64,2960
149,83.64,2980
150,89.12,3000
151,81.36,3020
152,81.36,3040
153,78.62,3060
154,66.93,3080
155,88.74,3100
156,93.05,3120
157,93.05,3140
158,93.05,3160
159,93.81,3180
160,81.45,3200
161,90.58,3220
162,90.58,3240
163,88.05,3260
164,77.01,3280
165,80.92,3300
166,80.92,3320
167,80.92,3340
168,93.65,3360
169,92.27,3380
170,92.27,3400
171,94.02000000000001,3420
172,94.02000000000001,3440
173,88.25,3460
174,89.87,3480
175,80.55,3500
176,83.82,3520
177,88.52,3540
178,91.07,3560
179,90.03,3580
180,89.35,3600
