round,accuracy,round_time
1,30.19,40
2,22.189999999999998,80
3,30.69,120
4,30.69,160
5,30.69,200
6,27.54,240
7,31.019999999999996,280
8,30.320000000000004,320
9,28.18,360
10,28.1,400
11,22.689999999999998,440
12,42.809999999999995,480
13,21.790000000000003,520
14,35.52,560
15,38.23,600
16,65.02,640
17,39.47,680
18,42.74,720
19,41.61,760
20,40.410000000000004,800
21,47.510000000000005,840
22,41.010000000000005,880
23,35.55,920
24,62.760000000000005,960
25,68.21000000000001,1000
26,69.05,1040
27,72.17,1080
28,72.17,1120
29,71.57,1160
30,77.52,1200
31,90.31,1240
32,69.31,1280
33,43.14,1320
34,63.36000000000001,1360
35,54.169999999999995,1400
36,76.57000000000001,1440
37,69.02000000000001,1480
38,71.85000000000001,1520
39,70.83,1560
40,73.56,1600
41,78.75,1640
42,62.61,1680
43,73.11,1720
44,75.91,1760
45,79.99000000000001,1800
46,81.86,1840
47,72.72,1880
48,69.33,1920
49,78.93,1960
50,83.65,2000
51,83.17999999999999,2040
52,76.44999999999999,2080
53,89.35,2120
54,78.24,2160
55,86.21,2200
56,90.72,2240
57,86.94,2280
58,74.08,2320
59,86.0,2360
60,86.0,2400
61,72.18,2440
62,86.25,2480
63,90.94,2520
64,83.00999999999999,2560
65,85.95,2600
66,91.96,2640
67,93.67,2680
68,88.51,2720
69,94.76,2760
70,70.12,2800
71,63.81,2840
72,84.17999999999999,2880
73,84.85000000000001,2920
74,77.55,2960
75,86.42,3000
76,93.23,3040
77,95.38,3080
