round,accuracy,round_time
1,14.01,86
2,10.02,186
3,34.47,284
4,36.69,384
5,48.370000000000005,482
6,32.65,582
7,52.080000000000005,680
8,67.72,780
9,75.61,860
10,67.51,948
11,83.66,1024
12,62.78,1110
13,69.63000000000001,1210
14,67.0,1304
15,81.35,1400
16,79.93,1500
17,89.47,1600
18,79.05,1692
19,86.32,1772
20,94.57,1872
21,91.84,1966
22,95.74000000000001,2058
23,93.88,2146
24,92.2,2234
25,96.1,2328
26,95.50999999999999,2404
27,95.56,2502
28,95.82000000000001,2598
29,95.55,2692
30,94.97,2786
31,96.91,2884
32,96.78,2984
33,96.92,3080
34,95.24000000000001,3176
35,96.93,3272
