round,accuracy,round_time
1,9.74,78
2,10.09,170
3,10.09,258
4,16.93,326
5,9.8,426
6,9.58,526
7,11.360000000000001,626
8,9.74,724
9,11.39,794
10,22.040000000000003,894
11,28.299999999999997,994
12,22.189999999999998,1094
13,28.82,1180
14,42.730000000000004,1278
15,35.160000000000004,1376
16,50.42,1460
17,53.300000000000004,1536
18,59.99,1634
19,65.96,1720
20,55.910000000000004,1820
21,65.81,1908
22,78.22,1996
23,81.46,2096
24,71.22,2194
25,70.14,2284
26,78.85,2378
27,78.56,2474
28,73.38,2574
29,79.27,2658
30,80.97,2744
31,74.71,2808
32,86.08,2906
33,69.15,3000
34,74.48,3086
35,79.10000000000001,3184
36,69.86,3272
37,86.27,3364
38,72.06,3452
39,80.77,3552
40,84.89999999999999,3650
41,76.55,3748
42,79.47999999999999,3846
43,85.49,3940
44,80.32000000000001,4038
45,82.22,4126
46,86.24000000000001,4216
47,88.63,4296
48,91.67,4372
49,88.3,4466
50,93.35,4552
51,88.22,4626
52,91.45,4726
53,92.35,4824
54,85.28,4908
55,89.79,5008
56,90.59,5108
57,86.14,5208
58,94.65,5304
59,94.34,5394
60,92.75,5480
61,92.91,5578
62,93.8,5672
63,88.92999999999999,5772
64,93.69,5870
65,94.14,5956
66,94.62,6056
67,95.56,6142
68,94.35,6240
69,94.11,6332
70,89.36,6430
71,95.12,6530
72,95.66,6626
73,96.13000000000001,6720
74,94.44,6810
75,95.7,6904
76,95.89,7000
77,96.44,7086
78,95.8,7172
79,95.78,7266
80,96.02000000000001,7354
81,95.1,7436
82,95.44,7514
83,95.42,7604
84,96.98,7680
85,95.94,7776
86,94.93,7856
87,97.04,7944
88,96.76,8038
89,94.23,8136
90,97.28,8236
91,95.97,8324
92,95.5,8416
93,96.78,8514
94,97.13000000000001,8608
95,96.1,8700
96,93.15,8798
97,96.67,8888
98,97.31,8986
99,96.64,9068
100,97.39999999999999,9168
