round,accuracy,training_time,round_time
1,27.522935779816514,19.639688055962324,28.873937521129847
2,34.09785932721712,19.316689781844616,21.902326099574566
3,35.16819571865443,20.077885694801807,21.952700283378363
4,31.345565749235476,19.480243142694235,22.285480085760355
5,27.06422018348624,19.67919385805726,21.404445350170135
6,28.440366972477065,20.377978444099426,22.085942585021257
7,42.04892966360856,20.20140590891242,21.392177626490593
8,35.77981651376147,19.440274998545647,21.679507341235876
9,39.44954128440367,19.993119671940804,21.028389304876328
10,38.07339449541284,19.71448114514351,21.528361689299345
11,42.96636085626911,19.984544079750776,21.279963616281748
12,24.92354740061162,19.63206461444497,21.78313224390149
13,40.0611620795107,20.18238554894924,21.759191162884235
14,54.58715596330275,20.323004357516766,21.96345980092883
15,24.31192660550459,19.852644462138414,21.476331163197756
16,40.0611620795107,19.746071461588144,21.52114735916257
17,38.226299694189606,19.746753495186567,20.966110352426767
18,34.5565749235474,19.479689303785563,21.13274472206831
19,42.201834862385326,19.091031048446894,21.82334950938821
20,44.18960244648318,19.955336678773165,21.525043930858374
21,44.03669724770643,19.175575476139784,21.423521906137466
22,53.36391437308868,19.180518250912428,21.511562526226044
23,46.02446483180428,19.210106890648603,21.667947310954332
24,28.74617737003058,19.2975210621953,21.276224423199892
25,35.015290519877674,19.38431679829955,21.56594727933407
26,34.5565749235474,19.437684439122677,21.301470581442118
27,42.04892966360856,19.312953542917967,21.772135362029076
28,38.68501529051988,19.761053636670113,21.649435695260763
29,54.12844036697248,20.33142714574933,22.094285737723112
30,62.53822629969419,19.576598554849625,21.500203393399715
31,55.5045871559633,20.063179839402437,21.45400195941329
32,39.44954128440367,20.354914233088493,21.793649345636368
33,44.342507645259936,19.830826587975025,21.503961481153965
34,48.47094801223242,19.727709524333477,22.102231800556183
35,62.079510703363916,19.52778349071741,21.529509104788303
36,60.703363914373085,20.32379324361682,21.979501623660326
37,48.1651376146789,19.879850760102272,21.111274298280478
38,64.06727828746178,20.29758569970727,21.5587807148695
39,21.712538226299692,19.87178783118725,21.670623041689396
40,39.60244648318042,19.5342825576663,21.28490598499775
41,56.11620795107034,19.676938384771347,21.348559446632862
42,36.69724770642202,19.521006766706705,21.4126762971282
43,46.94189602446483,19.884797263890505,22.15496889874339
44,51.52905198776758,20.361199904233217,21.51264650002122
45,49.84709480122324,19.655391950160265,21.32990090548992
46,46.48318042813456,19.804350443184376,21.98795684054494
47,60.24464831804281,19.551631323993206,22.208226464688778
48,62.23241590214067,20.07606829702854,20.907119411975145
49,60.39755351681957,19.412461880594492,21.831128373742104
50,58.256880733944946,20.356328509747982,21.746020764112473
51,55.65749235474006,19.258119639009237,21.60447945818305
52,65.90214067278288,20.079266600310802,21.591780465096235
53,47.09480122324159,19.462057378143072,21.89864180609584
54,63.608562691131496,19.83128460124135,22.033521004021168
55,58.40978593272171,19.48441918566823,21.600366711616516
56,55.198776758409785,19.082975938916206,21.56653268635273
57,61.00917431192661,19.791999004781246,21.76977887749672
58,65.74923547400611,19.83383910357952,21.91049038618803
59,60.09174311926605,19.372287798672915,20.68426365032792
60,58.103975535168196,20.15235175937414,21.756267443299294
61,57.645259938837924,19.898281417787075,21.872783541679382
62,55.81039755351682,19.575071275234222,21.69789907336235
63,57.798165137614674,20.102720752358437,22.78765207901597
64,57.645259938837924,19.596972785890102,21.292355101555586
65,49.38837920489297,20.27605339512229,21.97186439484358
66,65.4434250764526,20.234642442315817,21.1231595762074
67,57.03363914373089,19.54117562249303,20.904074631631374
68,65.29051987767585,19.75385056063533,21.82056986540556
69,44.18960244648318,20.275537449866533,21.726711120456457
70,59.63302752293578,19.676115553826094,21.245708391070366
71,53.36391437308868,19.63100940734148,21.784693140536547
72,65.4434250764526,19.350605331361294,21.746564894914627
73,65.59633027522935,19.630698084831238,21.078347764909267
74,69.72477064220183,20.080498553812504,21.33519907668233
75,51.223241590214066,20.066155321896076,21.478568829596043
76,54.43425076452599,19.29240531101823,21.622288417071104
77,61.92660550458715,20.064870316535234,21.833346735686064
78,66.20795107033639,19.591871313750744,21.49446490034461
79,67.73700305810397,20.09216406941414,21.05196062102914
80,64.52599388379205,19.911546759307384,21.63984877988696
81,71.10091743119266,19.37441009655595,21.621974788606167
82,69.1131498470948,20.194819796830416,21.101609211415052
83,63.91437308868502,19.97405932471156,21.69512313976884
84,69.1131498470948,20.257965359836817,21.459828920662403
85,65.13761467889908,19.734854117035866,21.28043495863676
86,65.59633027522935,19.463773600757122,21.68358187749982
87,70.18348623853211,19.774840254336596,21.975731063634157
88,68.19571865443424,19.67874239757657,21.275598406791687
89,72.01834862385321,19.64221801236272,21.547700095921755
90,72.93577981651376,19.163097988814116,21.802126478403807
91,70.9480122324159,20.045506339520216,22.251457907259464
92,71.55963302752293,19.792017854750156,21.80792998895049
93,71.86544342507645,19.99925421923399,21.68403260782361
94,58.86850152905198,19.81810787692666,22.224186427891254
95,65.90214067278288,20.19291327148676,22.41190405935049
96,68.50152905198776,19.60108595713973,21.697199754416943
97,69.72477064220183,19.770693000406027,21.917617715895176
98,69.57186544342507,19.71892837435007,21.345787703990936
99,71.86544342507645,20.023606292903423,21.574800685048103
100,71.25382262996942,19.446022804826498,21.95248108357191
101,71.25382262996942,20.084674585610628,22.13976689428091
102,70.9480122324159,19.560424651950598,21.48441745713353
103,67.88990825688074,20.327773049473763,21.240626897662878
104,70.64220183486239,19.80245539918542,21.14583844318986
105,67.12538226299695,20.040446005761623,22.202152628451586
106,71.40672782874617,20.137199390679598,21.94515598192811
107,71.25382262996942,20.53052669763565,21.614048026502132
108,69.8776758409786,19.195890855044127,21.15695046633482
109,68.19571865443424,19.5677427649498,21.466860003769398
110,69.72477064220183,19.263548102229834,21.803242854774
111,70.33639143730886,19.785270884633064,21.582606244832277
112,72.47706422018348,19.942837208509445,21.54932451620698
113,69.41896024464832,20.087293945252895,21.364829789847136
114,71.86544342507645,19.34101001173258,21.223005767911673
115,73.54740061162079,19.691821575164795,20.977046579122543
116,70.18348623853211,19.758632574230433,21.771892465651035
117,67.73700305810397,19.942674551159143,21.44416766986251
118,71.10091743119266,19.305725537240505,21.808014299720526
119,53.21100917431193,19.974611468613148,20.943896606564522
120,46.330275229357795,20.11651360988617,21.427158523350954
121,64.6788990825688,20.007581032812595,21.62364860624075
122,68.50152905198776,20.08356250450015,21.19785527512431
123,68.96024464831805,19.683629766106606,22.130882151424885
124,70.48929663608563,20.22562003135681,22.058384001255035
125,70.33639143730886,19.585886165499687,22.046168126165867
126,72.62996941896024,19.885532893240452,21.431819818913937
127,71.10091743119266,19.884241092950106,21.00064829364419
128,62.84403669724771,19.994287740439177,21.44479339197278
129,72.32415902140673,19.364475827664137,21.676077511161566
130,69.1131498470948,19.755302283912897,22.034157160669565
131,70.03058103975535,19.659306179732084,21.09471930190921
132,71.55963302752293,19.887078497558832,21.307569082826376
133,72.78287461773701,19.78443879261613,21.612092781811953
134,71.25382262996942,20.282410457730293,22.267996449023485
135,74.61773700305811,20.42966902628541,22.07876806333661
136,71.40672782874617,19.101783260703087,21.795902855694294
137,70.03058103975535,19.80435886606574,21.352469131350517
138,72.93577981651376,19.649290680885315,20.980434101074934
139,73.54740061162079,19.83959311246872,21.487100891768932
140,72.01834862385321,19.845364939421415,21.438333187252283
141,74.15902140672783,19.61789958551526,22.214911576360464
142,72.93577981651376,19.88489844277501,21.484680522233248
143,70.9480122324159,19.690453194081783,21.21180297806859
144,75.84097859327217,20.09617493674159,21.19086641818285
145,72.93577981651376,19.47244307398796,21.402777772396803
146,69.41896024464832,19.62076311558485,21.430004723370075
147,74.77064220183486,19.473707139492035,21.404354829341173
148,72.93577981651376,20.091977577656507,21.667777951806784
149,71.7125382262997,19.88616853952408,21.678370513021946
150,76.60550458715596,20.19064249843359,21.55414180085063
151,72.93577981651376,20.174959678202868,21.34382339194417
152,74.46483180428135,19.41137859225273,21.705450169742107
153,59.32721712538226,19.891597237437963,21.431491408497095
154,72.32415902140673,20.56115886196494,21.426721781492233
155,72.01834862385321,20.54551235958934,22.233132399618626
156,71.25382262996942,20.10219334065914,22.02950019389391
157,71.55963302752293,20.369648315012455,21.918638553470373
158,74.92354740061162,19.836849331855774,21.597609255462885
159,74.61773700305811,20.35825304687023,21.80840227007866
160,72.32415902140673,19.89352348819375,21.25530032068491
161,72.93577981651376,19.75911644473672,21.66122740879655
162,70.79510703363916,18.969097211956978,20.969112921506166
163,68.65443425076452,19.54011268541217,21.735178913921118
164,70.9480122324159,19.67087273299694,21.312887869775295
165,75.53516819571865,19.810930218547583,21.59705862030387
166,74.00611620795107,20.159922495484352,22.224977865815163
167,74.77064220183486,19.64857803285122,22.074489053338766
168,73.08868501529052,19.74555692076683,21.811680775135756
169,76.14678899082568,19.59245554730296,21.517502918839455
170,76.29969418960245,20.020068373531103,21.87736639380455
171,75.68807339449542,19.681510727852583,21.718704015016556
172,75.53516819571865,19.665981125086546,21.430006235837936
173,74.92354740061162,19.65863136947155,21.12448801845312
174,75.99388379204893,20.71487196907401,22.27192359417677
175,74.31192660550458,19.63841165229678,22.045785691589117
176,75.99388379204893,19.91877243295312,21.759315822273493
177,74.77064220183486,19.589945048093796,21.309402111917734
178,75.68807339449542,19.63205237314105,22.106835290789604
179,74.31192660550458,20.07357705011964,21.27568945661187
180,75.07645259938838,19.32967561110854,21.155651215463877
181,73.85321100917432,19.93282577395439,22.248281318694353
182,70.79510703363916,20.060480438172817,21.593087274581194
183,74.31192660550458,19.339142348617315,21.38629947975278
184,73.70030581039755,20.579684797674417,22.178482182323933
185,66.97247706422019,19.989441107958555,21.144525818526745
186,28.899082568807337,19.53482374921441,21.19915159419179
187,59.63302752293578,19.477354262024164,21.27415980771184
188,60.703363914373085,19.629396107047796,21.8089387267828
189,70.48929663608563,19.709604777395725,21.5244122967124
190,70.79510703363916,19.989127714186907,21.52157935127616
191,69.8776758409786,19.500570088624954,21.35939785093069
192,71.55963302752293,19.769376322627068,20.91675028577447
193,70.79510703363916,19.676452174782753,21.947901893407106
194,74.92354740061162,20.472119100391865,21.243467517197132
195,68.65443425076452,20.154806032776833,20.999910283833742
196,70.18348623853211,19.536206286400557,21.596580386161804
197,73.54740061162079,20.03487790748477,21.958822838962078
198,74.00611620795107,20.205420330166817,21.648638017475605
199,73.08868501529052,19.366654329001904,21.571031004190445
200,71.55963302752293,19.184151761233807,21.10389132797718
201,74.00611620795107,19.73658386617899,21.838207103312016
202,70.64220183486239,20.04487546160817,22.14374364167452
203,74.92354740061162,19.840859040617943,21.331818252801895
204,72.62996941896024,20.616635113954544,21.965426478534937
205,73.39449541284404,19.79434761404991,21.362557772547007
206,73.08868501529052,20.056830994784832,21.587591778486967
207,73.54740061162079,19.445855919271708,21.284053832292557
208,74.15902140672783,19.192647207528353,21.787203017622232
209,76.29969418960245,19.780558668076992,20.955382876098156
210,73.70030581039755,20.43354156240821,21.1325538828969
211,74.77064220183486,19.899708673357964,21.311083182692528
212,74.15902140672783,19.959932778030634,21.897971093654633
213,72.78287461773701,20.04522880539298,21.375098403543234
214,74.77064220183486,20.398335002362728,22.177873838692904
215,74.15902140672783,20.425595097243786,21.823468256741762
216,74.46483180428135,19.912714570760727,21.1265589594841
217,75.07645259938838,19.84254065528512,21.68674948811531
218,74.92354740061162,19.71226927265525,21.757530089467764
