round,accuracy,round_time
1,31.818181818181817,100
2,37.60330578512397,200
3,50.413223140495866,300
4,48.760330578512395,400
5,52.47933884297521,500
6,54.132231404958674,600
7,52.066115702479344,700
8,48.34710743801653,800
9,56.19834710743802,900
10,58.26446280991735,1000
11,57.438016528925615,1100
12,60.74380165289256,1200
13,57.02479338842975,1300
14,57.02479338842975,1400
15,59.50413223140496,1500
16,58.67768595041323,1600
17,58.26446280991735,1700
18,58.26446280991735,1800
19,62.396694214876035,1900
20,63.22314049586777,2000
21,62.8099173553719,2100
22,57.85123966942148,2200
23,55.371900826446286,2300
24,62.8099173553719,2400
25,47.93388429752066,2500
26,55.78512396694215,2600
27,57.02479338842975,2700
28,57.02479338842975,2800
29,58.26446280991735,2900
30,63.63636363636363,3000
31,59.50413223140496,3100
32,59.09090909090909,3200
33,61.57024793388429,3300
34,59.50413223140496,3400
35,59.09090909090909,3500
36,56.19834710743802,3600
37,61.15702479338842,3700
38,60.33057851239669,3800
39,50.413223140495866,3900
40,52.066115702479344,4000
41,60.74380165289256,4100
42,60.33057851239669,4200
43,61.15702479338842,4300
44,62.8099173553719,4400
45,56.19834710743802,4500
46,59.50413223140496,4600
47,53.30578512396694,4700
48,54.132231404958674,4800
49,60.33057851239669,4900
50,60.74380165289256,5000
51,62.8099173553719,5100
52,61.57024793388429,5200
53,62.8099173553719,5300
54,62.8099173553719,5400
55,62.8099173553719,5500
56,64.46280991735537,5600
57,67.35537190082644,5700
58,59.917355371900825,5800
59,59.917355371900825,5900
60,65.70247933884298,6000
61,64.0495867768595,6100
62,61.57024793388429,6200
63,65.28925619834712,6300
64,65.70247933884298,6400
65,66.94214876033058,6500
66,67.76859504132231,6600
67,68.59504132231406,6700
68,66.52892561983471,6800
69,67.35537190082644,6900
70,65.28925619834712,7000
71,67.35537190082644,7100
72,66.94214876033058,7200
73,67.76859504132231,7300
74,66.94214876033058,7400
75,64.0495867768595,7500
76,67.35537190082644,7600
77,67.35537190082644,7700
78,71.48760330578511,7800
79,66.52892561983471,7900
80,67.35537190082644,8000
81,69.83471074380165,8100
82,66.52892561983471,8200
83,66.94214876033058,8300
84,66.11570247933885,8400
85,67.35537190082644,8500
86,71.48760330578511,8600
87,68.18181818181817,8700
88,69.00826446280992,8800
89,67.76859504132231,8900
90,69.83471074380165,9000
91,58.26446280991735,9100
92,67.35537190082644,9200
93,64.46280991735537,9300
94,69.00826446280992,9400
95,71.07438016528926,9500
96,73.55371900826447,9600
97,65.70247933884298,9700
98,70.24793388429752,9800
99,66.52892561983471,9900
100,69.42148760330579,10000
101,67.76859504132231,10100
102,66.52892561983471,10200
103,73.14049586776859,10300
104,69.83471074380165,10400
105,65.28925619834712,10500
106,68.18181818181817,10600
107,71.07438016528926,10700
108,70.66115702479338,10800
109,65.28925619834712,10900
110,74.79338842975206,11000
111,75.6198347107438,11100
112,69.00826446280992,11200
113,75.20661157024794,11300
114,74.3801652892562,11400
115,75.20661157024794,11500
116,74.79338842975206,11600
117,71.48760330578511,11700
118,68.18181818181817,11800
119,71.900826446281,11900
120,70.66115702479338,12000
121,75.20661157024794,12100
122,76.03305785123968,12200
123,75.20661157024794,12300
124,76.85950413223141,12400
125,76.03305785123968,12500
126,75.6198347107438,12600
127,71.48760330578511,12700
128,73.14049586776859,12800
129,73.96694214876032,12900
130,76.44628099173553,13000
131,77.27272727272727,13100
132,76.85950413223141,13200
133,72.72727272727273,13300
134,72.31404958677686,13400
135,73.14049586776859,13500
136,73.96694214876032,13600
137,70.66115702479338,13700
138,74.3801652892562,13800
139,72.31404958677686,13900
140,74.79338842975206,14000
141,77.27272727272727,14100
142,74.3801652892562,14200
143,75.20661157024794,14300
144,76.44628099173553,14400
145,72.31404958677686,14500
146,78.51239669421489,14600
147,77.68595041322314,14700
148,76.44628099173553,14800
149,74.3801652892562,14900
150,76.03305785123968,15000
151,76.85950413223141,15100
152,76.44628099173553,15200
153,76.44628099173553,15300
154,76.03305785123968,15400
155,78.92561983471074,15500
156,78.51239669421489,15600
157,75.6198347107438,15700
158,77.68595041322314,15800
159,75.6198347107438,15900
160,74.3801652892562,16000
161,76.85950413223141,16100
162,76.44628099173553,16200
163,73.14049586776859,16300
