round,accuracy,round_time
1,12.267657992565056,100
2,10.037174721189592,200
3,13.382899628252787,300
4,14.12639405204461,400
5,10.037174721189592,500
6,12.639405204460965,600
7,15.985130111524162,700
8,15.241635687732341,800
9,15.241635687732341,900
10,15.613382899628252,1000
11,19.702602230483272,1100
12,30.483271375464682,1200
13,21.561338289962826,1300
14,29.739776951672862,1400
15,28.99628252788104,1500
16,23.79182156133829,1600
17,25.650557620817843,1700
18,25.650557620817843,1800
19,26.765799256505574,1900
20,29.36802973977695,2000
21,26.765799256505574,2100
22,25.650557620817843,2200
23,25.27881040892193,2300
24,36.80297397769517,2400
25,29.36802973977695,2500
26,24.1635687732342,2600
27,23.42007434944238,2700
28,28.624535315985128,2800
29,20.817843866171003,2900
30,26.022304832713754,3000
31,20.817843866171003,3100
32,24.53531598513011,3200
33,23.79182156133829,3300
34,37.54646840148699,3400
35,37.54646840148699,3500
36,37.54646840148699,3600
37,40.14869888475837,3700
38,37.9182156133829,3800
39,39.03345724907063,3900
40,39.03345724907063,4000
41,39.03345724907063,4100
42,39.03345724907063,4200
43,41.2639405204461,4300
44,33.82899628252788,4400
45,32.342007434944236,4500
46,41.63568773234201,4600
47,31.226765799256505,4700
48,34.20074349442379,4800
49,38.28996282527881,4900
50,33.82899628252788,5000
51,34.20074349442379,5100
52,36.80297397769517,5200
53,43.866171003717476,5300
54,43.866171003717476,5400
55,43.49442379182156,5500
56,42.00743494423792,5600
57,40.89219330855018,5700
58,42.37918215613383,5800
59,43.49442379182156,5900
60,43.49442379182156,6000
61,37.174721189591075,6100
62,29.36802973977695,6200
63,43.866171003717476,6300
64,42.75092936802974,6400
65,35.687732342007436,6500
66,33.82899628252788,6600
67,32.71375464684015,6700
68,42.37918215613383,6800
69,28.25278810408922,6900
70,40.520446096654275,7000
71,41.63568773234201,7100
72,32.342007434944236,7200
73,42.37918215613383,7300
74,43.49442379182156,7400
75,42.37918215613383,7500
76,43.12267657992565,7600
77,43.49442379182156,7700
78,34.572490706319705,7800
79,43.866171003717476,7900
80,43.49442379182156,8000
81,44.237918215613384,8100
82,44.237918215613384,8200
83,33.08550185873606,8300
84,36.43122676579926,8400
85,33.82899628252788,8500
86,39.405204460966544,8600
87,42.00743494423792,8700
88,42.00743494423792,8800
89,42.37918215613383,8900
90,43.49442379182156,9000
91,43.49442379182156,9100
92,42.75092936802974,9200
93,43.866171003717476,9300
94,43.866171003717476,9400
95,43.866171003717476,9500
96,34.20074349442379,9600
97,44.98141263940521,9700
98,39.03345724907063,9800
99,44.237918215613384,9900
100,44.237918215613384,10000
