round,accuracy,round_time
1,16.75,20
2,16.75,40
3,21.09,60
4,25.729999999999997,80
5,34.89,100
6,25.03,120
7,44.940000000000005,140
8,52.01,160
9,43.28,180
10,39.019999999999996,200
11,48.309999999999995,220
12,32.39,240
13,54.52,260
14,52.42,280
15,52.66,300
16,46.57,320
17,63.019999999999996,340
18,55.88999999999999,360
19,44.230000000000004,380
20,61.38,400
21,62.57,420
22,64.77000000000001,440
23,33.12,460
24,63.73,480
25,64.97,500
26,63.349999999999994,520
27,75.64,540
28,62.83,560
29,86.94,580
30,77.46,600
31,80.24,620
32,72.49,640
33,61.27,660
34,72.47,680
35,82.07,700
36,73.46000000000001,720
37,79.10000000000001,740
38,78.81,760
39,77.11,780
40,83.25,800
41,81.94,820
42,71.25,840
43,80.78,860
44,42.14,880
45,73.37,900
46,63.519999999999996,920
47,74.74,940
48,80.07,960
49,82.21000000000001,980
50,83.63000000000001,1000
51,62.480000000000004,1020
52,79.91,1040
53,67.06,1060
54,81.13,1080
55,89.77000000000001,1100
56,85.13,1120
57,89.02,1140
58,82.78,1160
59,89.05999999999999,1180
60,84.14,1200
61,90.53999999999999,1220
62,84.7,1240
63,80.97999999999999,1260
64,84.44,1280
65,89.62,1300
66,80.17,1320
67,85.21,1340
68,88.22,1360
69,91.13,1380
70,89.01,1400
71,90.58,1420
72,91.18,1440
73,90.35,1460
74,78.39,1480
75,83.91999999999999,1500
76,87.62,1520
77,89.0,1540
78,85.26,1560
79,87.98,1580
80,92.49000000000001,1600
81,93.93,1620
82,90.64999999999999,1640
83,92.43,1660
84,90.03,1680
85,92.71000000000001,1700
86,94.84,1720
87,93.65,1740
88,89.96,1760
89,86.18,1780
90,80.22,1800
91,84.98,1820
92,91.85,1840
93,92.03,1860
94,91.33,1880
95,86.77,1900
96,91.59,1920
97,90.86,1940
98,92.88,1960
99,86.99,1980
100,88.81,2000
101,93.07,2020
102,92.36,2040
103,94.06,2060
104,90.47,2080
105,86.61,2100
106,94.04,2120
107,93.55,2140
108,93.82000000000001,2160
109,94.98,2180
110,94.53,2200
111,94.26,2220
112,92.82000000000001,2240
113,92.61,2260
114,93.75,2280
115,91.02,2300
116,95.33,2320
