round,accuracy,round_time
1,9.82,40
2,9.82,80
3,9.82,120
4,9.950000000000001,160
5,13.38,200
6,20.21,240
7,30.620000000000005,280
8,38.48,320
9,46.33,360
10,45.39,400
11,47.19,440
12,49.02,480
13,61.58,520
14,69.08999999999999,560
15,69.57,600
16,75.97,640
17,81.92,680
18,81.39,720
19,82.45,760
20,82.83,800
21,84.74000000000001,840
22,86.56,880
23,86.04,920
24,88.74,960
25,86.11999999999999,1000
26,89.36,1040
27,88.18,1080
28,90.12,1120
29,90.79,1160
30,90.01,1200
31,89.75999999999999,1240
32,91.06,1280
33,92.08,1320
34,92.09,1360
35,91.21000000000001,1400
36,92.03,1440
37,91.61,1480
38,92.17,1520
39,92.63,1560
40,93.05,1600
41,92.91,1640
42,92.63,1680
43,92.54,1720
44,93.03,1760
45,93.49,1800
46,94.11,1840
47,93.94,1880
48,94.1,1920
49,94.28999999999999,1960
50,94.47,2000
51,94.13,2040
52,94.42,2080
53,93.87,2120
54,94.64,2160
55,94.61,2200
56,94.74000000000001,2240
57,94.83,2280
58,94.89999999999999,2320
59,94.76,2360
60,95.11,2400
61,95.38,2440
62,95.27,2480
63,95.17999999999999,2520
64,94.95,2560
65,95.09,2600
66,95.73,2640
67,95.33,2680
68,95.66,2720
69,95.89,2760
70,95.74000000000001,2800
71,95.73,2840
72,95.42,2880
73,95.95,2920
74,96.03,2960
75,96.09,3000
76,95.99,3040
77,95.88,3080
78,96.16,3120
79,96.1,3160
80,96.36,3200
81,96.38,3240
82,96.57,3280
83,96.1,3320
84,96.41999999999999,3360
85,95.96000000000001,3400
86,96.52,3440
87,96.48,3480
88,96.1,3520
89,96.43,3560
90,96.69,3600
91,96.63000000000001,3640
92,96.81,3680
93,96.28,3720
94,96.75,3760
95,96.43,3800
96,96.41999999999999,3840
97,96.3,3880
98,96.55,3920
99,96.89,3960
100,96.84,4000
101,96.38,4040
102,97.02,4080
103,96.98,4120
104,96.89,4160
105,96.97,4200
106,96.69,4240
107,97.04,4280
108,96.61999999999999,4320
109,96.86,4360
110,97.00999999999999,4400
111,97.07000000000001,4440
112,97.24000000000001,4480
113,96.97,4520
114,97.07000000000001,4560
115,96.75,4600
116,97.18,4640
117,97.23,4680
118,97.00999999999999,4720
119,96.98,4760
120,97.11,4800
121,97.2,4840
122,97.42,4880
123,97.25,4920
124,97.17,4960
125,97.27,5000
