round,accuracy,round_time
1,21.16991643454039,40
2,37.88300835654596,80
3,45.96100278551532,120
4,44.84679665738162,160
5,45.12534818941504,200
6,45.12534818941504,240
7,43.45403899721448,280
8,43.45403899721448,320
9,45.12534818941504,360
10,47.63231197771588,400
11,46.796657381615596,440
12,47.07520891364902,480
13,43.73259052924791,520
14,44.84679665738162,560
15,55.15320334261838,600
16,54.59610027855153,640
17,47.07520891364902,680
18,48.74651810584958,720
19,51.81058495821726,760
20,52.92479108635098,800
21,51.25348189415042,840
22,53.2033426183844,880
23,53.48189415041783,920
24,53.760445682451255,960
25,42.618384401114206,1000
26,55.43175487465181,1040
27,59.05292479108635,1080
28,62.116991643454035,1120
29,58.21727019498607,1160
30,56.54596100278552,1200
31,56.26740947075209,1240
32,55.98885793871866,1280
33,60.16713091922006,1320
34,62.39554317548747,1360
35,61.55988857938719,1400
36,64.06685236768801,1440
37,58.77437325905292,1480
38,61.55988857938719,1520
39,61.28133704735376,1560
40,65.45961002785515,1600
41,64.06685236768801,1640
42,59.610027855153206,1680
43,57.381615598885794,1720
44,57.938718662952645,1760
45,62.67409470752089,1800
46,62.67409470752089,1840
47,62.95264623955432,1880
48,59.888579387186624,1920
49,64.62395543175488,1960
50,63.788300835654596,2000
51,57.66016713091921,2040
52,59.05292479108635,2080
53,67.1309192200557,2120
54,66.85236768802228,2160
55,64.34540389972145,2200
56,63.50974930362116,2240
57,65.18105849582173,2280
58,65.45961002785515,2320
59,60.44568245125348,2360
60,61.00278551532033,2400
61,62.67409470752089,2440
62,61.00278551532033,2480
63,64.06685236768801,2520
64,67.40947075208913,2560
65,65.45961002785515,2600
66,63.788300835654596,2640
67,64.9025069637883,2680
68,66.85236768802228,2720
69,57.381615598885794,2760
70,64.9025069637883,2800
71,66.29526462395543,2840
72,64.06685236768801,2880
73,69.35933147632312,2920
74,69.91643454038997,2960
75,69.63788300835655,3000
76,68.80222841225627,3040
77,66.85236768802228,3080
78,66.29526462395543,3120
79,68.80222841225627,3160
80,69.35933147632312,3200
81,68.52367688022284,3240
82,69.08077994428969,3280
83,68.24512534818942,3320
84,70.47353760445682,3360
85,69.08077994428969,3400
86,69.63788300835655,3440
87,68.24512534818942,3480
88,68.80222841225627,3520
89,65.73816155988858,3560
90,71.58774373259052,3600
91,66.85236768802228,3640
92,72.14484679665738,3680
93,66.57381615598887,3720
94,67.1309192200557,3760
95,72.70194986072424,3800
96,74.09470752089136,3840
97,70.75208913649024,3880
98,69.08077994428969,3920
99,67.96657381615599,3960
100,71.03064066852369,4000
101,69.91643454038997,4040
102,66.85236768802228,4080
103,77.15877437325905,4120
104,74.65181058495823,4160
105,74.65181058495823,4200
106,73.25905292479109,4240
107,76.04456824512535,4280
108,75.20891364902506,4320
109,72.70194986072424,4360
110,74.65181058495823,4400
111,74.09470752089136,4440
112,72.98050139275766,4480
113,76.6016713091922,4520
114,74.65181058495823,4560
115,74.09470752089136,4600
116,75.76601671309191,4640
117,77.43732590529248,4680
118,76.88022284122563,4720
119,77.15877437325905,4760
120,75.20891364902506,4800
121,76.6016713091922,4840
122,77.15877437325905,4880
123,74.93036211699165,4920
124,73.81615598885793,4960
125,80.50139275766016,5000
