round,accuracy,round_time
1,16.72,31.31223607
2,12.76,53.44794965
3,9.8,77.97003984
4,24.33,91.32844257
5,11.81,109.6900158
6,9.8,174.9759114
7,12.33,188.7797875
8,9.8,236.4316452
9,12.29,299.756438
10,16.24,350.5770714
11,10.1,401.5986071
12,18.54,419.5312691
13,12.68,468.6793096
14,18.95,565.4388561
15,9.81,619.6075091
16,26.32,670.8337891
17,10.32,697.1688855
18,19.77,727.3435984
19,19.37,738.620832
20,19.03,777.59026
21,37.01,816.0648761
22,17.37,900.8488731
23,16.07,924.9242935
24,32.99,962.7617044
25,32.26,1041.057281
26,29.39,1061.348201
27,25.57,1102.56274
28,46.9,1130.259579
29,24.03,1229.237563
30,20.46,1270.50228
31,40.74,1300.554116
32,22.05,1406.976917
33,37.16,1421.220948
34,23.6,1436.45005
35,10.32,1493.841395
36,35.31,1592.912628
37,38.84,1644.386774
38,44.25,1723.46287
39,31.55,1750.096991
40,32.78,1779.186496
41,38.68,1863.915184
42,47.01,1915.148999
43,46.77,1993.786183
44,47.9,2045.222664
45,31.19,2083.920741
46,43.63,2107.669319
47,34.75,2130.121111
48,40.62,2143.383308
49,36.95,2221.144517
50,28.88,2299.258932
51,46.69,2363.040082
52,42.34,2402.386121
53,40.48,2431.420143
54,58.5,2454.96364
55,38.38,2536.655076
56,49.21,2615.460009
57,47.39,2634.443065
58,38.79,2662.81879
59,29.29,2713.809675
60,42.4,2791.808556
61,57.56,2898.195033
62,29.58,2937.543238
63,56.95,2981.776554
64,31.63,3019.907953
65,39.22,3039.490854
66,42.59,3128.80909
67,49.75,3227.838172
68,67.22,3251.662414
69,47.24,3358.177519
70,37.32,3409.101065
71,46.42,3517.627
72,37.6,3569.839577
73,46.02,3648.446639
74,45.51,3745.774606
75,43.06,3758.537607
76,48.71,3795.986947
77,43.47,3893.447346
78,39.17,3955.724494
79,51.45,4045.102781
80,30.72,4074.599028
81,46.98,4162.752868
82,61.58,4227.387951
83,56.82,4332.259507
84,53.27,4351.538384
85,33.8,4374.034656
86,58.53,4397.065085
87,47.58,4412.301143
88,61.53,4486.204225
89,53.26,4497.563563
90,42.23,4581.780182
91,47.16,4610.785694
92,34.82,4626.136401
93,45.55,4670.34962
94,56.99,4758.384199
95,52.92,4782.414255
96,64.58,4833.052324
97,59.98,4872.386264
98,55.8,4972.522976
99,67.75,5000.514773
100,55.43,5039.151248
