round,accuracy,round_time
1,16.21,32.18473792
2,23.86,44.84896803
3,10.28,63.61592412
4,17.02,109.578614
5,19.77,128.4174974
6,20.55,147.0761516
7,9.8,187.4048769
8,15.13,245.6226075
9,10.28,274.879163
10,13.61,318.0546384
11,27.71,417.5966794
12,10.32,522.4241209
13,27.84,598.6969335
14,9.82,676.5365586
15,37.84,730.1268735
16,50.11,742.8482044
17,10.1,830.1320624
18,18.46,859.2434618
19,8.92,958.9370387
20,30.71,980.8420148
21,32.17,1086.575508
22,10.32,1191.442081
23,28.54,1242.395274
24,9.8,1265.364439
25,22.34,1364.451385
26,21.1,1452.103149
27,10.32,1470.523557
28,19.5,1510.633063
29,10.28,1618.322366
30,24.88,1669.279395
31,16.78,1765.357255
32,9.74,1843.415607
33,9.74,1920.684968
34,9.74,1971.331374
35,9.8,1988.75458
36,25.95,2037.453367
37,10.1,2066.007017
38,10.1,2102.761386
39,9.8,2153.72763
40,9.74,2176.639602
41,19.22,2205.589578
42,10.32,2256.257267
43,9.8,2345.518836
44,8.92,2358.379281
45,11.35,2441.995028
46,25.18,2538.443102
47,10.28,2551.675775
48,10.32,2566.863038
49,10.32,2614.128069
50,9.8,2626.624993
51,15.96,2660.440521
52,9.82,2689.388589
53,9.82,2795.442093
54,10.09,2879.345684
55,10.28,2917.724967
56,15.36,2968.109229
57,18.65,3031.054174
58,10.1,3049.284762
59,10.09,3092.915301
60,10.32,3143.802981
61,26.83,3155.806464
62,9.82,3236.76921
63,10.1,3264.198833
64,10.28,3326.629242
65,9.8,3415.114704
66,21.05,3465.694223
67,10.28,3479.438166
68,8.92,3494.558497
69,9.8,3538.014639
70,9.74,3576.119848
71,18.56,3616.219918
72,10.09,3700.177897
73,9.82,3736.549704
74,9.8,3825.964247
75,10.28,3933.916266
76,10.28,3959.947695
77,9.74,4010.578422
78,10.1,4049.883322
79,10.32,4137.498733
80,9.74,4216.121875
81,9.74,4312.86845
82,9.8,4336.088246
83,10.1,4363.743545
84,10.28,4374.700239
85,10.28,4397.861806
86,10.1,4435.131515
87,9.8,4527.080477
88,9.82,4539.55532
89,11.35,4589.365167
90,11.35,4611.045657
91,9.58,4718.984936
92,10.32,4769.088419
93,9.74,4819.723531
94,9.8,4916.327633
95,10.09,5000.370563
96,9.82,5022.636429
97,10.32,5127.811286
98,10.09,5171.399674
99,10.28,5197.471179
100,9.82,5226.121779
