round,accuracy,round_time
1,45.08,36.19481420516968
2,26.48,50.232150077819824
3,32.33,65.4564139842987
4,17.13,97.40735101699829
5,37.61,110.94203543663025
6,39.79,139.60540199279785
7,20.78,240.40875720977783
8,26.8,269.3828980922699
9,18.82,282.18242049217224
10,49.9,331.52974128723145
11,35.73,437.92373609542847
12,53,461.44226598739624
13,18.77,498.87503242492676
14,34.02,588.8308191299438
15,36.05,629.9726300239563
16,11.19,667.9672977924347
17,43.55,698.0757632255554
18,30.55,782.5085566043854
19,43.02,859.4948933124542
20,33.95,903.3536796569824
21,37.75,954.5355658531189
22,41.96,1052.3171558380127
23,26.28,1090.2748956680298
24,30.63,1187.615636587143
25,22.22,1214.3329265117645
26,21.18,1228.3687403202057
27,9.8,1276.841744184494
28,21.32,1366.6186406612396
29,32.35,1389.591148853302
30,19.72,1440.668363571167
31,28.28,1485.0957469940186
32,8.92,1536.8487260341644
33,11.35,1634.359753370285
34,34.32,1663.7233271598816
35,11.35,1740.2759437561035
36,35.53,1760.512822151184
37,11.35,1823.7266128063202
38,9.8,1875.2296297550201
39,40.09,1915.5598373413086
40,10.32,1933.7925350666046
41,15.2,1972.4221351146698
42,11.35,1992.4341185092926
43,8.92,2030.1625599861145
44,36.86,2109.1030406951904
45,11.35,2193.8492233753204
46,11.35,2257.1053733825684
47,11.35,2334.0581085681915
48,10.28,2362.536024093628
49,43.95,2460.4290101528168
50,8.92,2498.196576833725
