round,accuracy,round_time
1,12.6,148.9083867073059
2,12.410000000000004,297.8167734146118
3,17.52,431.610089302063
4,15.42,580.5184760093689
5,11.21,727.4081103801727
6,24.42,873.2812843322754
7,32.91,1022.1896710395813
8,28.24,1160.2476363182068
9,33.56,1298.1337733268738
10,42.46,1447.0421600341797
11,35.1,1588.0845193862915
12,47.35000000000001,1734.9741537570953
13,59.64999999999999,1864.3235280513763
14,70.42,2002.3814933300018
15,73.4,2124.9732937812805
16,80.14,2271.8629281520844
17,77.14,2300
18,79.14,2330
