round,accuracy,round_time
1,8.74,65.75792002677917
2,7.42,82.71556949615479
3,8.92,104.80403995513916
4,8.91,121.58528876304626
5,8.92,130.5007200241089
6,10.4,148.9083867073059
7,11.540000000000001,165.43113899230957
8,8.92,192.61686873435974
9,8.780000000000001,214.66630673408508
10,10.620000000000001,241.38924598693848
11,11.83,248.44423747062683
12,8.95,275.5374004840851
13,10.09,294.78156065940857
14,9.8,307.7473690509796
15,8.92,327.92774868011475
16,15.75,358.4579322338104
17,24.0,363.5747377872467
18,9.92,400.6155254840851
19,17.46,418.2587218284607
20,44.330000000000005,429.3326578140259
21,10.11,440.08652424812317
22,18.2,470.86902618408203
23,17.73,486.4804766178131
24,36.21,511.1545925140381
25,20.46,537.2511034011841
26,17.62,547.6080961227417
27,44.96,572.7925822734833
28,28.349999999999998,589.2623121738434
29,43.19,605.6319875717163
30,43.580000000000005,619.7774128913879
31,51.580000000000005,651.3784608840942
32,56.510000000000005,659.8429038524628
33,54.22,696.0139153003693
34,65.79,711.7127935886383
35,66.09,725.600823879242
36,60.650000000000006,744.4595232009888
37,66.71000000000001,764.6572964191437
38,70.61,786.6500060558319
39,77.89,802.596006155014
40,66.61,827.1750926971436
41,67.61,846.984338760376
42,74.27,866.1335172653198
43,76.36,882.5150320529938
44,73.83999999999999,906.4976224899292
45,78.48,928.2496659755707
46,76.55,945.6170284748077
47,76.22,960.2898736000061
48,81.89999999999999,986.7652299404144
49,76.37,997.3808350563049
50,77.17,1025.0326735973358
51,78.2,1046.1548247337341
52,77.5,1063.762912273407
53,82.47,1085.8040163516998
54,82.17999999999999,1102.184875011444
55,83.86,1117.9285442829132
56,78.38000000000001,1132.0197758674622
57,79.95,1166.0024411678314
58,83.49,1186.3547127246857
59,81.26,1204.056096315384
60,82.41000000000001,1217.8847270011902
61,84.76,1237.7325015068054
62,82.99,1264.390429019928
63,84.8,1276.0924167633057
64,84.42,1297.368238210678
65,84.5,1322.6887669563293
66,85.04,1343.2049610614777
67,85.61999999999999,1356.2943999767303
68,86.3,1376.851749420166
69,85.08,1405.3211097717285
70,85.85000000000001,1410.9783840179443
71,86.59,1427.7083458900452
72,86.50999999999999,1464.770635128021
73,84.41,1474.0002160072327
74,85.65,1496.0032603740692
75,88.26,1516.7818439006805
76,85.79,1535.6382057666779
77,88.24,1547.5559623241425
78,86.63,1576.616732597351
79,85.50999999999999,1596.6873879432678
80,87.15,1616.1993434429169
81,87.42999999999999,1629.1845543384552
82,87.75,1642.9988098144531
83,86.53999999999999,1669.8852798938751
84,87.22,1698.8261785507202
85,89.41,1710.813146352768
86,88.12,1725.525119304657
87,87.47,1750.8373873233795
88,88.52,1763.1538271903992
89,86.86,1782.6702628135681
90,89.56,1802.8485960960388
91,88.79,1825.26997590065
92,89.48,1849.0523400306702
93,88.31,1869.9888982772827
94,89.59,1883.0505793094635
95,89.99000000000001,1895.523476600647
96,89.4,1918.1658465862274
97,89.71000000000001,1952.909430027008
98,89.13,1965.776977300644
99,89.36,1979.5253076553345
100,89.49000000000001,2002.3276703357697
101,89.96,2026.826159477234
102,89.8,2036.0304780006409
103,89.62,2061.153899669647
104,89.77000000000001,2084.3293476104736
105,89.46,2095.4695405960083
106,89.92999999999999,2119.7220301628113
107,90.52,2142.78249168396
108,90.06,2154.2349619865417
109,89.25999999999999,2181.9036519527435
