round,accuracy,round_time
1,10.027855153203342,48
2,14.484679665738161,144
3,22.00557103064067,242
4,38.71866295264624,340
5,39.83286908077994,436
6,40.947075208913645,526
7,38.16155988857939,626
8,48.74651810584958,724
9,45.96100278551532,822
10,47.353760445682454,890
11,43.73259052924791,984
12,47.910863509749305,1084
13,52.92479108635098,1180
14,50.41782729805014,1270
15,45.12534818941504,1364
16,48.74651810584958,1434
17,54.59610027855153,1530
18,49.30362116991643,1626
19,55.15320334261838,1726
20,54.59610027855153,1824
21,54.874651810584965,1918
22,56.824512534818936,2002
23,57.381615598885794,2088
24,56.26740947075209,2184
25,63.231197771587745,2284
26,57.938718662952645,2382
27,55.15320334261838,2464
28,54.59610027855153,2558
29,58.21727019498607,2652
30,62.116991643454035,2742
31,64.06685236768801,2842
32,62.39554317548747,2940
33,62.116991643454035,3018
34,56.26740947075209,3116
35,63.788300835654596,3212
36,60.16713091922006,3286
37,58.495821727019504,3374
38,62.39554317548747,3474
39,65.45961002785515,3536
40,61.00278551532033,3622
41,61.83844011142061,3716
42,64.62395543175488,3806
43,63.50974930362116,3892
44,65.73816155988858,3970
45,67.1309192200557,4056
46,54.874651810584965,4152
47,61.00278551532033,4228
48,69.91643454038997,4318
49,66.01671309192201,4418
50,57.66016713091921,4498
51,69.35933147632312,4592
52,66.01671309192201,4668
53,68.24512534818942,4756
54,66.01671309192201,4856
55,67.40947075208913,4948
56,67.1309192200557,5042
57,65.45961002785515,5138
