round,accuracy,round_time
1,21.6,40
2,12.15,80
3,21.14,120
4,23.43,160
5,35.13,200
6,35.14,240
7,25.919999999999998,280
8,42.49,320
9,39.28,360
10,45.81,400
11,36.93,440
12,20.22,480
13,41.53,520
14,44.14,560
15,50.27,600
16,60.050000000000004,640
17,63.339999999999996,680
18,75.03,720
19,71.91,760
20,73.55000000000001,800
21,71.74000000000001,840
22,56.169999999999995,880
23,77.59,920
24,82.35,960
25,78.43,1000
26,86.28,1040
27,77.58,1080
28,84.41,1120
29,81.38,1160
30,76.68,1200
31,83.88,1240
32,83.86,1280
33,81.02000000000001,1320
34,83.44,1360
35,85.28,1400
36,86.0,1440
37,83.19,1480
38,84.36,1520
39,87.35000000000001,1560
40,83.97,1600
41,92.96,1640
42,90.12,1680
43,94.08,1720
44,85.75,1760
45,91.62,1800
46,91.28,1840
47,92.65,1880
48,92.78999999999999,1920
49,92.85,1960
50,92.27,2000
51,93.52000000000001,2040
52,92.34,2080
53,91.75,2120
54,91.97,2160
55,89.31,2200
56,86.09,2240
57,87.02,2280
58,93.74,2320
59,93.05,2360
60,92.60000000000001,2400
61,93.97,2440
62,92.35,2480
63,95.45,2520
