round,accuracy,round_time
1,24.23,40
2,34.73,80
3,33.42,120
4,40.62,160
5,29.909999999999997,200
6,37.79,240
7,48.51,280
8,61.519999999999996,320
9,64.75,360
10,74.99,400
11,78.8,440
12,81.89,480
13,81.54,520
14,85.8,560
15,84.36,600
16,86.06,640
17,86.99,680
18,87.05000000000001,720
19,87.81,760
20,88.67,800
21,89.67,840
22,90.92,880
23,90.07,920
24,90.8,960
25,90.14,1000
26,91.99000000000001,1040
27,92.16,1080
28,92.57,1120
29,92.33,1160
30,92.38,1200
31,93.12,1240
32,92.56,1280
33,92.75999999999999,1320
34,93.04,1360
35,93.67999999999999,1400
36,93.96,1440
37,94.28,1480
38,94.38,1520
39,94.46,1560
40,94.34,1600
41,94.55,1640
42,94.66,1680
43,94.67,1720
44,94.89,1760
45,94.93,1800
46,95.08,1840
47,94.69999999999999,1880
48,95.06,1920
49,95.16,1960
50,95.1,2000
51,95.43,2040
52,95.38,2080
53,95.89,2120
54,95.73,2160
55,95.30999999999999,2200
56,95.78999999999999,2240
57,95.62,2280
58,95.95,2320
59,95.23,2360
60,96.1,2400
61,95.72,2440
62,95.95,2480
63,95.89,2520
64,96.28,2560
65,96.37,2600
66,96.1,2640
67,96.12,2680
68,96.54,2720
69,96.43,2760
70,96.44,2800
71,96.47,2840
72,96.21,2880
73,95.19,2920
74,96.64,2960
75,96.65,3000
76,96.39999999999999,3040
77,96.61999999999999,3080
78,96.97,3120
79,96.59,3160
80,96.67999999999999,3200
81,97.03,3240
82,96.89,3280
83,96.95,3320
84,96.85000000000001,3360
85,97.05,3400
86,97.0,3440
87,96.97,3480
88,97.14,3520
89,96.85000000000001,3560
90,97.23,3600
91,97.13000000000001,3640
92,97.3,3680
93,97.15,3720
94,97.11999999999999,3760
95,97.23,3800
96,96.96000000000001,3840
97,97.08,3880
98,97.32,3920
99,97.26,3960
100,97.38,4000
101,97.38,4040
102,97.2,4080
103,97.39999999999999,4120
104,97.34,4160
105,97.17,4200
106,97.39,4240
107,97.28999999999999,4280
108,97.42,4320
109,97.28,4360
110,97.21,4400
111,97.47,4440
112,97.47,4480
113,97.26,4520
114,97.49,4560
115,97.44,4600
116,97.16,4640
117,97.50999999999999,4680
118,97.50999999999999,4720
119,97.49,4760
120,97.47,4800
121,97.35000000000001,4840
122,97.45,4880
123,97.65,4920
124,97.63,4960
125,97.47,5000
