round,accuracy,round_time
1,7.31,26
2,18.61,116
3,44.49,208
4,61.68,304
5,65.04,390
6,82.68,478
7,82.83,578
8,85.54,676
9,88.12,774
10,88.53,874
11,90.15,974
12,89.27,1064
13,91.44,1160
14,91.81,1258
15,91.83,1358
16,92.84,1444
17,93.06,1538
18,93.19,1620
19,92.98,1718
20,93.35,1818
21,93.72,1912
22,93.96,2006
23,94.25,2106
24,94.07,2204
25,94.55,2298
26,94.48,2390
27,94.67,2488
28,94.88,2580
29,94.11,2678
30,95.06,2766
31,95.05,2866
32,95.11,2964
33,95.33,3036
34,95.37,3104
35,95.05,3196
36,95.33,3284
37,95.25,3378
38,95.3,3460
39,95.44,3552
40,95.5,3652
41,95.52,3748
42,95.6,3842
43,95.89,3936
44,96.64,4020
45,96.47,4118
46,96.64,4210
47,96.75,4308
48,96.64,4400
49,96.7,4496
50,96.86,4586
51,96.82,4686
52,96.51,4780
53,96.71,4874
54,97.65,4974
