round,round_time,accuracy
1,33.27178454,39.08
2,67.11611819,22.59
3,98.04963565,44.9
4,131.2593284,67.07
5,165.1949291,64.47
6,196.074779,55.35
7,225.2480676,50.51
8,258.7038984,69.32
9,293.438993,52.29
10,325.0607235,56.38
11,357.6957593,61.05
12,385.9716585,36.69
13,417.0616918,22.4
14,449.6650977,34.68
15,480.4301021,40.75
16,503.3080552,51
17,535.6327314,59.79
18,564.8849769,63.14
19,593.004729,74.23
20,622.4021702,75.15
21,654.3285773,74.32
22,685.1816559,71.92
23,716.3918474,68.21
24,749.0540206,65.88
25,781.2771618,59.36
26,812.3736432,65.09
27,846.1990054,64.4
28,878.9082873,71.94
29,912.2334063,63.67
30,945.3699691,80.17
31,976.2498369,80.23
32,1008.967902,74.94
33,1040.650808,81.11
34,1069.791638,79.88
35,1101.805681,84.5
36,1133.461808,81.98
37,1167.298116,78.55
38,1201.604367,74.85
39,1232.882582,74.93
40,1262.938364,84.71
41,1295.785607,78.54
42,1328.804305,74.69
43,1358.772495,77.14
44,1392.169979,73.38
45,1425.009739,18.32
46,1458.311964,50.79
47,1487.425507,54
48,1515.525193,55.42
49,1548.737933,78.7
50,1578.088907,80.76
51,1610.800695,63.47
52,1641.884106,74.73
53,1675.517124,84.74
54,1702.700869,85.52
55,1732.356631,84.76
56,1765.679641,87.07
57,1793.29736,89.77
58,1827.395994,90.21
59,1860.258352,90.57
60,1887.315198,90.62
61,1921.761912,83.04
62,1951.927254,74.13
63,1984.936502,84.71
64,2010.559457,87.66
65,2041.564945,91.57
66,2073.375473,91.66
67,2104.141126,86.75
68,2135.995584,87.92
69,2169.535715,90.77
70,2202.102035,86.56
71,2233.465388,91.39
72,2262.742574,90.69
73,2292.774268,88.59
74,2326.499652,92.83
75,2360.543166,81.58
76,2390.216332,90.19
77,2423.209632,90.61
78,2456.830731,88.5
79,2490.371413,88.46
80,2518.463593,89.48
81,2549.442421,89.25
82,2581.376995,89.49
83,2611.342237,91.79
84,2643.741136,86.32
85,2672.350564,90.77
86,2704.729235,93.17
87,2738.453214,91.75
88,2769.56719,88.84
89,2798.657702,88.51
90,2832.216195,93.31
91,2863.762503,89.15
92,2892.86849,92.72
93,2924.420543,92
94,2956.045599,93.54
95,2989.427972,89.6
96,3020.569127,89.53
97,3054.449979,83.28
98,3087.542223,82.84
99,3119.109254,86.86
100,3153.022653,79.74
101,3186.138903,86.37
102,3215.730819,85.31
103,3246.974131,90.53
104,3279.949801,89.48
105,3312.838114,92.58
106,3345.043581,92.06
107,3375.08371,90.16
108,3408.251967,91.11
109,3441.531544,92.17
110,3470.753359,91.52
111,3504.398335,91.69
112,3531.743833,92.08
113,3561.218725,89.77
114,3588.520183,93.32
115,3617.378431,87.03
116,3647.932882,91.97
117,3682.284836,90.32
118,3713.474504,92.37
119,3745.733445,90.62
120,3775.398105,91.93
121,3807.29636,92.62
122,3839.896955,92.63
123,3869.491639,94
124,3901.255677,92.13
125,3932.695397,92.38
126,3965.77318,93.98
127,3994.119517,94.41
128,4025.266234,91.62
129,4058.816739,94.93
130,4090.80992,93.43
131,4124.179762,93.59
132,4157.078434,91.61
133,4190.169613,92.97
134,4224.358227,85.42
135,4257.924321,93.53
136,4288.500804,92.76
137,4321.681966,92.39
138,4350.235456,93.33
139,4377.562708,94.25
140,4410.402926,90.35
141,4441.396257,92.12
142,4470.671827,90.12
143,4498.993737,92.09
144,4532.591971,88.88
145,4561.540549,89.76
146,4593.256732,90.46
147,4625.757737,90.64
148,4658.028094,83.02
149,4686.562836,83.22
150,4720.115733,90.81
151,4750.792904,93.9
152,4785.148597,93.37
153,4817.112103,91.94
154,4846.315312,93.48
155,4877.61426,94.4
156,4908.674626,89.11
157,4942.501306,91.84
158,4971.446889,92.22
