round,accuracy,round_time
1,10.28,146.88963437080383
2,10.32,292.7628083229065
3,19.1,441.6711950302124
4,26.78,588.5608294010162
5,40.11,734.4340033531189
6,61,883.3423900604248
7,63.2,1030.2320244312286
8,71.16,1168.2899897098541
9,59.3,1315.179624080658
10,69.88,1464.0880107879639
11,72.49,1612.9963974952698
12,73.99,1761.9047842025757
13,75.89,1907.7779581546783
14,73.68,2047.4494111537933
15,78.99,2188.491770505905
16,76.25,2317.841144800186
17,81.21,2466.749531507492
18,82.44,2613.639165878296
19,76.69,2754.6815252304077
20,83.07,2901.5711596012115
21,82.17,3050.4795463085175
22,81.25,3188.5350551605225
23,82.52,3334.408229112625
24,82.09,3475.450588464737
25,84.47,3605.9235560894012
26,85.69,3712.675159215927
27,81.32,3861.583545923233
28,81.95,4007.4567198753357
29,85.2,4154.3463542461395
30,85.79,4294.0178072452545
31,85.59,4435.060166597366
32,85.27,4583.968553304672
33,85.18,4732.876940011978
34,84.79,4870.932448863983
35,85.28,5017.822083234787
