round,accuracy,round_time
1,23.66542751,40
2,24.78066914,80
3,24.40892193,120
4,29.24163569,160
5,27.38289963,200
6,32.21561338,240
7,43.36802974,280
8,38.16356877,320
9,29.24163569,360
10,44.11152416,400
11,44.11152416,440
12,41.50929368,480
13,25.52416357,520
14,30.35687732,560
15,48.94423792,600
16,55.26394052,640
17,54.14869888,680
18,45.59851301,720
19,45.59851301,760
20,50.43122677,800
21,56.37918216,840
22,57.866171,880
23,42.99628253,920
24,45.2267658,960
25,50.80297398,1000
26,57.12267658,1040
27,49.68773234,1080
28,49.31598513,1120
29,59.72490706,1160
30,56.75092937,1200
31,57.49442379,1240
32,58.98141264,1280
33,64.55762082,1320
34,54.5204461,1360
35,58.60966543,1400
36,48.57249071,1440
37,64.18587361,1480
38,61.21189591,1520
39,55.26394052,1560
40,58.98141264,1600
41,51.91821561,1640
42,64.55762082,1680
43,57.866171,1720
44,66.04460967,1760
45,53.40520446,1800
46,63.44237918,1840
47,64.18587361,1880
48,64.55762082,1920
49,57.49442379,1960
50,61.21189591,2000
51,70.50557621,2040
52,62.69888476,2080
53,64.18587361,2120
54,63.44237918,2160
55,56.75092937,2200
56,59.35315985,2240
57,63.07063197,2280
58,65.67286245,2320
59,63.81412639,2360
60,68.64684015,2400
61,70.87732342,2440
62,70.87732342,2480
63,63.07063197,2520
64,71.24907063,2560
65,70.133829,2600
66,70.133829,2640
67,65.67286245,2680
68,72.36431227,2720
69,66.78810409,2760
70,64.55762082,2800
71,63.44237918,2840
72,67.90334572,2880
73,66.04460967,2920
74,65.67286245,2960
75,68.27509294,3000
76,75.71003717,3040
77,61.58364312,3080
78,70.50557621,3120
79,70.50557621,3160
80,72.36431227,3200
81,66.41635688,3240
82,57.49442379,3280
83,60.09665428,3320
84,67.90334572,3360
85,63.44237918,3400
86,69.39033457,3440
87,64.18587361,3480
88,63.81412639,3520
89,62.32713755,3560
90,62.69888476,3600
91,63.81412639,3640
92,69.01858736,3680
93,66.04460967,3720
94,69.39033457,3760
95,63.81412639,3800
96,66.41635688,3840
97,69.01858736,3880
98,71.24907063,3920
99,70.50557621,3960
100,71.24907063,4000
101,74.22304833,4040
102,69.01858736,4080
103,68.27509294,4120
104,72.73605948,4160
105,68.27509294,4200
106,73.4795539,4240
107,67.90334572,4280
108,68.64684015,4320
109,72.36431227,4360
110,73.4795539,4400
111,73.10780669,4440
112,74.96654275,4480
113,66.41635688,4520
114,73.85130112,4560
115,70.133829,4600
116,76.08178439,4640
117,68.64684015,4680
118,74.96654275,4720
119,72.36431227,4760
120,75.71003717,4800
121,69.01858736,4840
122,71.62081784,4880
123,76.82527881,4920
124,76.4535316,4960
125,76.08178439,5000
