round,accuracy,round_time
1,16.728624535315987,100
2,15.985130111524162,200
3,11.524163568773234,300
4,18.95910780669145,400
5,18.587360594795538,500
6,18.95910780669145,600
7,19.33085501858736,700
8,23.79182156133829,800
9,27.137546468401485,900
10,24.53531598513011,1000
11,24.53531598513011,1100
12,30.111524163568777,1200
13,24.53531598513011,1300
14,32.342007434944236,1400
15,27.881040892193308,1500
16,22.676579925650557,1600
17,26.022304832713754,1700
18,27.137546468401485,1800
19,27.509293680297397,1900
20,33.457249070631974,2000
21,36.43122676579926,2100
22,33.08550185873606,2200
23,34.20074349442379,2300
24,33.457249070631974,2400
25,29.739776951672862,2500
26,42.37918215613383,2600
27,42.75092936802974,2700
28,43.12267657992565,2800
29,38.28996282527881,2900
30,33.82899628252788,3000
31,34.572490706319705,3100
32,37.9182156133829,3200
33,38.28996282527881,3300
34,42.00743494423792,3400
35,37.174721189591075,3500
36,41.2639405204461,3600
37,39.405204460966544,3700
38,35.687732342007436,3800
39,35.31598513011153,3900
40,37.174721189591075,4000
41,39.03345724907063,4100
42,39.77695167286245,4200
43,51.301115241635685,4300
44,47.21189591078067,4400
45,49.814126394052046,4500
46,48.3271375464684,4600
47,44.98141263940521,4700
48,44.98141263940521,4800
49,45.72490706319702,4900
50,47.21189591078067,5000
51,44.60966542750929,5100
52,44.98141263940521,5200
53,43.866171003717476,5300
54,46.09665427509294,5400
55,34.94423791821561,5500
56,35.31598513011153,5600
57,53.90334572490706,5700
58,49.07063197026022,5800
59,43.12267657992565,5900
60,38.28996282527881,6000
61,50.18587360594795,6100
62,50.18587360594795,6200
63,42.75092936802974,6300
64,48.3271375464684,6400
65,46.09665427509294,6500
66,48.698884758364315,6600
67,46.468401486988846,6700
68,40.89219330855018,6800
69,49.44237918215613,6900
70,50.92936802973978,7000
71,42.37918215613383,7100
72,39.405204460966544,7200
73,49.44237918215613,7300
74,50.18587360594795,7400
75,45.72490706319702,7500
76,47.95539033457249,7600
77,48.698884758364315,7700
78,54.27509293680297,7800
79,56.50557620817844,7900
80,54.27509293680297,8000
81,47.58364312267658,8100
82,52.04460966542751,8200
83,56.877323420074354,8300
84,54.27509293680297,8400
85,46.84014869888476,8500
86,56.13382899628253,8600
87,44.98141263940521,8700
88,42.00743494423792,8800
89,53.90334572490706,8900
90,51.6728624535316,9000
